;ATERRO SANITÁRIO DE BRASÍLIA - ATERRAMENTO;;;;;;;
;Mês;;;Custo por tonelada;;;Total;
;Janeiro;;R$ 43,69;;;;R$ 2.990.854,44;
;Fevereiro;;R$ 43,69;;;;R$ 2.720.948,10;
;Março;;R$ 43,69;;;;R$ 2.800.732,60;
;Abril;;R$ 43,69;;;;R$ 2.979.530,86;
;Maio;;R$ 43,69;;;;R$ 2.734.260,45;
;Junho;;R$ 43,69;;;;R$ 2.378.894,72;
;Julho;;R$ 43,69;;;;R$ 2.529.445,22;
;Agosto;;R$ 43,69;;;;R$ 2.559.082,33;
;Setembro;;R$ 43,69;;;;R$ 2.508.830,09;
;Outubro;;R$ 45,54;;;;R$ 3.093.187,01;
;Novembro;;R$ 45,54;;;;R$ 3.094.606,49;
;Dezembro;;R$ 45,54;;;;R$ 3.254.889,98;
;TOTAL;;;;;;R$ 24.202.578,82;
