;Candangolândia e Núcleo Bandeirante;;Média Alta;;;216,408;;;22,62;;;90%;;
;Cruzeiro Velho;;Média Alta;;;140,27;;;35,87;;;74%;;
;TOTAL;;;;;;4.335,81;;;568,674;;;87%;
