;;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;;;Total;;;Média;
;Lote I;;3,0;;;3,0;;;3,0;;;3,0;;;3,0;;;3,0;;;3,0;;;3,0;;;3,0;;;3,0;;;3,0;;;3,0;;;;36,0;;;3,0;
;Lote II;;7,9;;;7,9;;;7,9;;;7,9;;;7,9;;;7,9;;;8,0;;;8,0;;;8,0;;;8,0;;;8,0;;;8,0;;;;95,5;;;8,0;
;Lote III;;2,0;;;1,9;;;2,0;;;2,0;;;2,0;;;2,0;;;2,0;;;2,0;;;2,0;;;2,0;;;2,0;;;2,0;;;;23,9;;;2,0;
;Total;;;12,92;;;12,81;;;12,93;;;12,93;;;12,92;;;12,95;;;12,96;;;12,96;;;12,96;;;13,00;;;13,00;;;13,00;;;155,33;;;12,94;
