;Motivos de inoperatividade;;;;
;Motivos;;;Quantidade de Papa-lixo;
Incendiado;;;32;;
Danificado pela chuva;;;8;;
Vandalismo;;;3;;
Removido / Realocado;;;19;;
Interditado por falta de segurança;;;9;;
Otimização da operação;;;3;;
Não Informado;;;11;;
Total;;;85;;
