2;AGOSTO;Palestra: Plano Distrital de Saneamento Básico e Plano de Gerenciamento Integrado de Resíduos Sólidos;Janaína Adriana da Trindade;26;Servidores do SLU e convidados
16;;Palestra Coaching Motivacional;Wagre Furtado Gomes;43;
23;;Bate-papo com os Ouvidores;Dr. Gilberto Júnior, Ouvidor Geral da União e Bruno Marques;38;
30;;Palestra:Conduta de Ética no Local de Trabalho;Frankys Cavalcante Araújo;22;
13;;Palestra: Lançamento SEI no SLU;Riane de Oliveira;44;
14;SETEMBRO;Discussão do PLC 122/2017;Dir.ª Heliana Kátia;44;
13/14/1 8/21;;Treinamento: Sistema de Controle de Pesagem;Angelo Silva;57;Balanceiros
20;;Palestra:Gestão Interna dos Resíduos Sólidos;Dir.ª Heliana Kátia E Bruno Marques;68;
27;;Palestra: Programa de Integridade no SLU;Alexandra Joffily de Azevedo;52;Servidores do SLU e convidados
11;;Palestra: Resíduos da Construção Civil;Leandro H. Antunes de Carvalho;32;
11/16/1 7/18/19;OUTUBRO;Treinamento: SEI Sistema Eletrônico de Informação;Bruno Marques, Idayane Lins e Roger;99;Servidores do SLU
8;;Palestra: Sistema de Gestão Integrada;Lucas Rocha Dourado da Silva;43;Servidores do SLU e
22;NOVEMBRO;Palesta: Fechamento do Aterro do Jóquei;Silvano Silvério da Costa;42;convidados
5;DEZEMBRO;Workshop: SEI: processos de demanda na área de pessoal;Patricia L Xavier e Idayane Lins;51;Servidores do SLU
6;;Palestra: Gestão de Resíduos Sólidos no Japão – Planejamento e Educação Ambiental;Janaína Trindade;40;Servidores do SLU e convidados
