;ATERRO SANITÁRIO DE BRASÍLIA - ATERRAMENTO;;;;;;;
;Mês;;;Custo por tonelada;;;Total;
;Janeiro;;R$ 52,32;;;R$ 3.644.389,89;;
;Fevereiro;;R$ 52,32;;;R$ 3.127.976,83;;
;Março;;R$ 52,32;;;R$ 3.330.205,67;;
;Abril;;R$ 52,32;;;R$ 2.965.029,34;;
;Maio;;R$ 52,32;;;R$ 2.967.605,57;;
;Junho;;R$ 52,32;;;R$ 2.900.498,37;;
;Julho;;R$ 52,32;;;R$ 2.945.727,44;;
;Agosto;;R$ 68,60;;;R$ 3.978.499,53;;
;Setembro;;R$ 68,60;;;R$ 3.913.726,04;;
;Outubro;;R$ 68,60 / R$ 35,35;;;R$ 3.068.407,70;;
;Novembro;;R$ 35,35;;;R$ 2.110.770,06;;
;Dezembro;;R$ 35,35;;;R$ 2.399.691,27;;
;TOTAL;;;;;;R$ 37.352.527,71;
