;DIRETORIAS;;;PREENCHIDOS;;;VAGOS;;;TOTAL;
;PRESIDÊNCIA;;36;;;0;;;;36;
;DIRETORIA DE ADMINISTRAÇÃO E FINANÇAS;;37;;;1;;;;38;
;DIRETORIA DE LIMPEZA URBANA;;60;;;0;;;;60;
;DIRETORIA DE TECNOLOGIA E INOVAÇÃO;;17;;;0;;;;17;
;DIRETORIA TÉCNICA;;20;;;0;;;;20;
;TOTAL;;;170;;;1;;;171;
