Material;;;;Média de Valor;;Média de Valor Unitário pago pelo SLU (R$/Kg) (B);;;Média de Valor Unitário total (R$/kg) (C);;;Valorização do Valor Unitário pelo SLU (C/A);;
;;;;Unitário do;;;;;;;;;;
;;;;comercializado;;;;;;;;;;
;;;;(R$/Kg) (A);;;;;;;;;;
;Diversos;;0,15;;;0,38;;;0,53;;;350%;;
;Metal;;5,40;;;0,38;;;5,78;;;107%;;
;Papel;;0,32;;;0,38;;;0,70;;;218%;;
;Plástico;;1,45;;;0,38;;;1,83;;;126%;;
;Vidro;;0,12;;;0,38;;;0,50;;;428%;;
;Médias;;;1,72;;;0,38;;;2,10;;;122%;
