;Unidade;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;;;Total;;;Média;
;Águas Claras;;122,60;;;133,28;;;130,10;;;120,05;;;118,13;;;113,89;;;132,83;;;118,24;;;126,19;;;118,82;;;126,05;;;128,89;;;;1.489,07;;;124,09;
;Asa sul;;109,60;;;86,85;;;114,85;;;63,51;;;72,00;;;92,02;;;114,78;;;91,39;;;87,86;;;87,39;;;70,91;;;83,49;;;;1.074,65;;;89,55;
;Brazlândia 1;;9,18;;;4,67;;;5,79;;;16,88;;;16,12;;;20,85;;;14,72;;;22,60;;;13,53;;;12,30;;;9,79;;;10,58;;;;157,01;;;13,08;
;Brazlândia 2;;16,38;;;5,74;;;2,95;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;4,07;;;0,00;;;7,18;;;12,53;;;;48,85;;;4,07;
;Ceilândia 1;;233,04;;;259,88;;;310,55;;;322,54;;;335,78;;;360,67;;;371,29;;;370,21;;;317,13;;;285,40;;;267,52;;;229,76;;;;3.663,77;;;305,31;
;Ceilândia 2;;252,31;;;194,03;;;100,26;;;65,82;;;76,47;;;67,48;;;89,07;;;102,43;;;136,36;;;120,03;;;197,69;;;170,58;;;;1.572,53;;;131,04;
;Gama 1;;201,90;;;189,66;;;155,86;;;169,60;;;182,97;;;195,52;;;221,53;;;238,40;;;251,48;;;221,21;;;270,63;;;250,70;;;;2.549,46;;;212,46;
;Gama 2;;0,00;;;3,49;;;50,01;;;0,23;;;11,81;;;5,77;;;11,26;;;9,95;;;6,21;;;14,22;;;0,00;;;5,89;;;;118,84;;;9,90;
;Guará 1;;197,59;;;183,97;;;216,03;;;214,45;;;235,85;;;185,63;;;194,65;;;196,70;;;272,77;;;243,10;;;161,27;;;128,54;;;;2.430,55;;;202,55;
;Guará 2;;143,35;;;114,18;;;56,69;;;16,01;;;10,00;;;40,16;;;41,77;;;87,45;;;44,33;;;97,72;;;81,58;;;165,15;;;;898,39;;;74,87;
;Paranoá;;42,17;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;6,65;;;78,37;;;56,01;;;73,41;;;67,00;;;108,52;;;;432,13;;;36,01;
;Planaltina;;99,69;;;60,15;;;174,09;;;156,06;;;120,53;;;125,02;;;114,20;;;114,99;;;124,20;;;81,20;;;116,91;;;151,66;;;;1.438,70;;;119,89;
;Pôr do Sol;;60,95;;;29,71;;;30,65;;;0,00;;;3,79;;;0,00;;;0,00;;;9,96;;;10,71;;;21,71;;;61,85;;;81,56;;;;310,89;;;25,91;
;Recanto das Emas;;52,52;;;21,50;;;68,39;;;88,20;;;153,71;;;112,09;;;115,20;;;119,38;;;92,37;;;86,80;;;74,09;;;87,08;;;;1.071,33;;;89,28;
