PINTURA DE MEIO-FIO (EM QUILÔMETROS);;;;;;;;;;;;;;
;jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez;Total lote;Média
Lote I;304;281;131;223;234;243;243;243;216;243;207;225;2.793;233
Lote II;207;184;221;198;230;175;234;243;216;160;146;173;2.387;199
Lote III;171;260;120;91;108;113;243;234;189;207;203;225;2.162;180
Total;682;725;471;512;572;531;720;720;621;610;556;623;7.342;612
