;CUSTO DA OPERAÇÃO DOS PAPA ENTULHO (PEV);;;;;;;;;;;;;
Mês;;;Coleta e transporte mecanizado de entulho;;;Coleta e transporte manual de podas;;;;Coleta e Transporte manual de Resíduos;;Custo total;;
;;;;;;;;;;Volumosos;;;;
;Janeiro;;R$ 107.531,85;;;R$ 49.240,08;;;R$ 49.649,58;;;R$206.421,51;;
;Fevereiro;;R$ 107.531,85;;;R$ 49.240,08;;;R$ 49.649,58;;;R$206.421,51;;
;Março;;R$ 107.531,85;;;R$ 49.240,08;;;R$ 49.649,58;;;R$206.421,51;;
;Abril;;R$ 107.531,85;;;R$ 49.240,08;;;R$ 49.649,58;;;R$206.421,51;;
;Maio;;R$ 113.086,28;;;R$ 52.155,90;;;R$ 52.565,40;;;R$217.807,58;;
;Junho;;R$ 113.278,55;;;R$ 52.155,90;;;R$ 52.155,90;;;R$217.590,35;;
;Julho;;R$ 125.246,09;;;R$ 56.256,28;;;R$ 56.665,79;;;R$238.168,16;;
;Agosto;;R$ 135.395,95;;;R$ 59.770,90;;;R$ 60.180,42;;;R$255.347,27;;
;Setembro;;R$ 135.395,95;;;R$ 59.770,90;;;R$ 60.180,42;;;R$255.347,27;;
;Outubro;;R$ 135.395,95;;;R$ 59.770,90;;;R$ 60.180,42;;;R$255.347,27;;
;Novembro;;R$ 143.313,71;;;R$ 62.521,20;;;R$ 62.908,56;;;R$268.743,47;;
;Dezembro;;R$ 150.831,15;;;R$ 65.395,15;;;R$ 68.701,16;;;R$284.927,46;;
;TOTAL;;;R$1.482.071,03;;;R$664.757,45;;;R$672.136,39;;;R$2.818.964,87;
