Varrição manual de vias e logradouros públicos;km;1.284.173;1.204.297;1.193.036;1.039.063,1
Varrição mecanizada de vias e logradouros públicos;km;41.288;42.187;61.407;152.814,3
Pintura de meios-fios;Equipe;71,30;75,40;78,70;70,56
Lavagem de vias e logradouros públicos;Equipe;72,00;72,19;78,70;71,62
Limpeza de Equipamentos e Bens Públicos;Equipe;-;-;-;47,32
Catação de papel em áreas verdes;Equipe;363,70;414,64;411,99;323,80
Limpeza Pós eventos e Coleta de Resíduos de Caixa de Gordura;T;-;-;-;107,25
Resíduos processados em usinas de tratamento;T;230.916;238.851;225.357;228.422
Resíduos domiciliares aterrados;T;809.085;784.460;800.872;821.090
Coleta de animais mortos;T;63,06;83,00;76,18;65,84
Coleta seletiva;T;29.968;28.549;28.522;18.311,03
Transferência de resíduos;T x km;17.004.130;18.072.534;21.468.117;35.193.461
Resíduos de entulhos aterrados na URE;T;-;1.303.662;1.423.028;1.589.393,18
Transporte de chorume;Viagem;-;946;1.542;-
Retirada de rejeitos das IRRs;Viagem;-;-;-;9.649,78
Retirada de entulhos dos PEVs;Equipe;-;4,916;17,89;54,88
Tratamento de chorume;m³;-;-;18.588;398.489,35
