;DESPESAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;DESPESA;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;AGO;;;SET;;;OUT;;;NOV;;DEZ;;TOTAL;
Aluguel dos Galpões;;;R$ 47.722;;;R$ 47.722;;;R$ 47.722;;;R$ 47.722;;;R$ 47.722;;;R$ 47.722;;;R$ 47.722;;R$ 72.243;;R$ 52.006;;;R$ 52.006;;;R$ 52.006;;;R$ 8.418;;R$ 570.731;
Aluguel da Sede Adm.;;;R$ 113.455;;;R$ 113.455;;;R$ 113.455;;;R$ 113.455;;;R$ 113.455;;;R$ 113.455;;;R$ 113.455;;R$ 113.455;;R$ 117.746;;;R$ 119.938;;;R$ 127.346;;;-;;R$ 1.272.671;
Condomínio;;;R$ 23.997;;;R$ 23.997;;;R$ 23.997;;;R$ 23.997;;;R$ 23.997;;;R$ 23.997;;;R$ 23.997;;R$ 23.997;;R$ 24.905;;;R$ 30.811;;;R$ 38.598;;;-;;R$ 286.289;
;Total;;;R$ 185.174;;;R$ 185.174;;;R$ 185.174;;;R$ 185.174;;;R$ 185.174;;;R$ 185.174;;;R$ 185.174;R$ 209.695;;;R$ 194.657;;;R$ 202.755;;;R$ 217.950;;R$ 8.418;;R$ 2.129.691;
