;SÍNTESE DE PALESTRAS, CURSOS E TREINAMENTOS REALIZADOS POR OUTROS ÓRGÃOS - 2022;;;;;;;;;
;E R T S E M IR T º 1;;TIPO;EVENTO;;;ÓRGÃO;;N.º DE SERVIDORES;
;;;;;;;;;CERTIFICADOS;
;;;CURSO;A nova Lei de Licitações e Contratos Administrativos para Autarquias, Empresas Pública e Sociedade de Economia Mista;;;SLU;44;;
;;;PALESTRAS;;O Poder da Ação;;;;34;
;;;;;Empoderamento Feminino;;;;36;
;;;;;Saúde da Mulher;;;;32;
;;;CONGRESSO;XI Congresso Consad de Gestão Pública;;;CONSAD;16;;
;;;CURSOS;Marco Regulatório das Organizações da Sociedade Civil (Presencial);;;EGOV;1;;
;;;;Gerenciamento de projetos (Presencial);;;;2;;
;;;;Elaboração de Projeto Básico e Termo de Referência (Presencial);;;;1;;
;;;;Lei nº 8.666/93 - licitações e contratos (Presencial);;;;1;;
