;;;;JAN;;;FEV;MAR;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;OUT;;NOV;;DEZ;;Total lote;;;Média;
;Lote I;;2,000;;;2,000;;2,000;2,000;;;2,000;;;2,000;;;2,000;;;2,000;;;2,000;;;2,000;2,000;;2,000;;24,000;;;2,000;;
;Lote II;;2,000;;;2,000;;2,000;2,000;;;1,924;;;2,000;;;2,000;;;2,000;;;2,000;;;2,000;2,000;;1,963;;23,887;;;1,991;;
;Lote III;;3,000;;;3,000;;3,000;3,000;;;3,000;;;3,000;;;3,000;;;3,000;;;3,000;;;3,000;3,000;;3,000;;36,000;;;3,000;;
;Total;;;7,000;;;7,000;7,000;;7,000;;;6,924;;;7,000;;;7,000;;;7,000;;;7,000;;7,000;;7,000;;6,963;;83,886;;;6,991;
