;UNIDADE DE TRANSBORDO DE RESÍDUOS NA REGIÃO DE BRAZLÂNDIA;ABERTURA EM 22/11/2024 ÀS 09H00;HOMOLOGADO R$ 4.013.800,78 6,4488%;;;
00094-00006597/2023-62;CONTRATAÇÃO PARA EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇO DE OPERAÇÃO E MANUTENÇÃO DA ATUAL UNIDADE DE RECEBIMENTO DE ENTULHOS (URE);PREGÃO ELETRÔNICO Nº 90004/2024 ABERTURA EM 3/9/2025 ÀS 09H00;ESTIMADO R$ 57.293.121,85 HOMOLOGADO R$ 47.025.000,00 17,92%;CONSÓRCIO VALOR - SUSTENTARE DF REPRESENTADO PELA LÍDER: VALOR AMBIENTAL LTDA, CNPJ: 07.026.299/0001-00;00394684000153-1- 000729/2024;CONTRATO 63/2025
00094-00002202/2024-33;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA, COM PROFISSIONAIS HABILITADOS E QUALIFICADOS, PARA A PRESTAÇÃO DE SERVIÇOS DE GERENCIAMENTO DE ÁREAS CONTAMINADAS (GAC) NAS UNIDADES DO SERVIÇO DE LIMPEZA URBANA DO DISTRITO FEDERAL (SLU/DF);CONCORRÊNCIA ELETRÔNICA Nº 90001/2025 ABERTURA EM 18/8/2025 ÀS 09H00;ESTIMADO R$ 1.833.167,14 HOMOLOGADO R$ 989.898,12 46,00%;D-GEO GEOLOGIA E ENGENHARIA AMBIENTAL LTDA CNPJ: 13.460.120/0001-13;01567525000176-1- 000041/2025;CONTRATO 56/2025
00094-00007795/2024-24;REGISTRO DE PREÇOS PARA CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE PROJETO DE ENGENHARIA PARA A INSTALAÇÃO DE PONTOS DE ENTREGA VOLUNTÁRIA (PEV) A SER DEFINIDA CONFORME NECESSIDADE ENCONTRADA NAS REGIÕES ADMINISTRATIVAS DO DISTRITO FEDERAL.;PREGÃO ELETRÔNICO SRP Nº 90001/2025 ABERTURA EM 15/5/2025 ÀS 09H00;ESTIMADO R$ 10.183.791,65 HOMOLOGADO R$ 9.219.876,60 15,60%;OLIMPIO CONSTRUÇÕES LTDA CNPJ 25.110.938/0001-95;01567525000176-1- 000039/2025;CONTRATO 42/2025
00094-00001927/2024-12;REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO FORNECIMENTO, INSTALAÇÃO, SUBSTITUIÇÃO E REMOÇÃO DE CONTÊINERES SEMIENTERRADOS;PREGÃO ELETRÔNICO SRP Nº 90002/2025 ABERTURA EM 28/7/2025 ÀS 09H00;ESTIMADO R$ 19.758.307,40 HOMOLOGADO R$ 19.266.577,80 2,48%;SOTKON BRASIL - INDÚSTRIA, COMÉRCIO, IMPORTAÇÂO E EXPORTAÇÃO LTDA CNPJ: 12.638.047/0001-64;01567525000176-1- 000042/2025;ARP 3/2025
00094-00003201/2025-97;REGISTRO DE PREÇOS PARA AQUISIÇÃO DE ATÉ 1.420 (UM MIL QUATROCENTOS E VINTE) CONTÊINERES DE SUPERFÍCIE EM POLIETILENO DE ALTA DENSIDADE (PEAD), COM CAPACIDADE DE 1.000 LITROS;PREGÃO ELETRÔNICO SRP Nº 90003/2025 ABERTURA EM 30/7/2025 ÀS 09H00;ESTIMADO R$ 1.638.403,10 HOMOLOGADO R$ 1.596.080,00 2,58%;CITY CLEAN COMÉRCIO DE EQUIPAMENTOS LTDA CNPJ: 48.256.518/0001-17;01567525000176-1- 000044/2025;ARP 2/2025 CONTRATO 50/2025
00094-00004292/2024-05;"CONTRATAÇÃO DE EMPRESA DE PRESTAÇÃO DE SERVIÇO DE LOCAÇÃO DE 55 (CINCO E CINCO) VEÍCULOS AUTOMOTORES, SENDO 53 (QUARENTA E TRÊS) AUTOMÓVEIS TIPO HATCH, SEM MOTORISTA E SEM COMBUSTÍVEL; 1 (UM) VEÍCULO TIPO SEDAN MÉDIO, SEM MOTORISTA E SEM COMBUSTÍVEL E 1 (UM) VEÍCULO TIPO VAN, A FIM DE ATENDER ÀS DEMANDAS DAS DIRETORIAS QUE COMPÕEM A ESTRUTURA ADMINISTRATIVA DESTE SLU/DF";PREGÃO ELETRÔNICO Nº 90004/2025 ABERTURA EM 4/8/2025 ÀS 09H00;ESTIMADO R$ 1.619.892,00 (ITEM 1) HOMOLOGADO R$ 1.586.820,00 (ITEM 1) 2,04% REVOGADOS ITENS 2 E 3;ITEM 1: STAR LOCAÇÃO DE SERVIÇOS GERAIS LTDA CNPJ: 37.131.539/0001-90;01567525000176-1- 000045/2025;CONTRATO 48/2025
00094-00001832/2023-18;CONTRATAÇÃO DE EMPRESA, COM PROFISSIONAIS HABILITADOS E CAPACITADOS, PARA A ELABORAÇÃO DE PROJETO EXECUTIVO DE ENCERRAMENTO DA ATUAL FASE DO ATERRO SANITÁRIO DE BRASÍLIA (ASB);PREGÃO ELETRÔNICO Nº 90005/2025 ABERTURA EM 8/8/2025 ÀS 09H00;FRACASSADO;-;01567525000176-1- 000046/2025;REPETIDO NO PREGÃO ELETRÔNICO 90011/2025
00094-00002985/2025-36;REGISTRO DE PREÇOS PARA FORNECIMENTO E A INSTALAÇÃO DE LIXEIRAS/PAPELEIRAS ATÉ O QUANTITATIVO ESTIMADO DE 10.000 UNIDADES, DESTINADO À INSTALAÇÃO EM ÁREAS PÚBLICAS DO DISTRITO FEDERAL, COM VISTAS À AMPLIAÇÃO DA COBERTURA DE;PREGÃO ELETRÔNICO SRP Nº 90006/2025 ABERTURA EM 30/7/2025 ÀS 09H00;ESTIMADO R$ 3.779.880,00 HOMOLOGADO R$ 2.978.000,00 21,21%;CITY CLEAN COMÉRCIO DE EQUIPAMENTOS LTDA CNPJ: 48.256.518/0001-17;01567525000176-1- 000047/2025;ARP 4/2025
