;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL LOTE;MÉDIA
ASB;73.866,61;65.125,24;71.285,96;68.132,42;67.378,90;64.268,490;66.657,39;64.983,15;64.360,49;70.789,26;66.397,50;77.844,37;821.089,78;68.424,15
URE;126.090,89;108.960,27;124.177,53;100.017,34;110.176,84;145.977,04;177.594,03;150.939,45;149.948,34;143.381,55;126.538,81;125.591,09;1.589.393,18;132.449,43
Total;199.957,50;174.085,51;195.463,49;168.149,76;177.555,74;210.245,53;244.251,42;215.922,60;214.308,83;214.170,81;192.936,31;203.435,46;2.410.482,96;200.873,58
