;;;JAN;;FEV;;MAR;;ABR;;MAI;;JUN;;JUL;;AGO;;SET;;OUT;;NOV;;DEZ;;Total;;Média;
;ASB;;68.456,27;62.278,51;;64.104,66;;68.197,09;;62.583,21;;54.449,41;;57.895,29;;58.573,64;;57.423,44;;67.922,42;;67.820,15;;71.606,65;;;761.310,74;;63.442,56;
;URE;;123.537,11;122.495,40;;144.349,82;;139.062,16;;130.721,28;;133.515,76;;157.241,32;;143.382,25;;111.025,52;;145.685,10;;125.495,10;;122.934,76;;;1.599.445,58;;133.287,13;
;Total;;191.993,38;;184.773,91;;208.454,48;;207.259,25;;193.304,49;;187.965,17;;215.136,61;;201.955,89;;168.448,96;;213.607,52;;193.315,25;;194.541,41;;2.360.756,32;;196.729,69;
