;TIPO DE DESPESA;;;TOTAL;;;MÉDIA/MÊS;
;Pessoal técnico administrativo;;R$ 7.591.308;;;R$ 632.609;;
;Limpeza Pública;;R$ 40.811.394;;;R$ 3.400.950;;
;Obras /Materiais Permanentes;;R$ 400.050;;;R$ 33.338;;
;Outros;;R$ 5.996;;;R$ 500;;
;Manutenção Administrativa;;R$ 1.399.227;;;R$ 116.602;;
;TOTAL;;;R$ 50.207.975;;;R$ 4.183.998;
