;;;;JAN;;;FEV;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;OUT;NOV;;;DEZ;;;Total;;;Média;
;Lote I;;2;;;2;;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;2;;2;;;;24;;;2;
;Lote II;;1;;;1;;;1;;1;;;1;;;1;;;1;;;1;;;1;;;1;1;;1;;;;12;;;1;
;Lote II;;1;;;1;;;1;;1;;;1;;;1;;;1;;;1;;;1;;;1;1;;1;;;;12;;;1;
;Total;;;4;;;4;;4;;;4;;;4;;;4;;;4;;;4;;;4;;4;4;;;4;;;48;;;4;
