8;9146/2019;CAESB X SLU;02/12/2019;Elaboração de um sistema definitivo para tratamento e disposição final do chorume gerado no Aterro Sanitário de Brasília – ASB, abrangendo as etapas de concepção do sistema, elaboração de projetos, prevendo ainda o apoio técnico na realização de procedimentos licitatórios e acompanhamento de obras;02/12/2021;Não envolve a transferência de recursos financeiros
9;02/2020;SEE X SLU;11/02/2020;Demonstrar a importância da gestão ambientalmente adequada dos resíduos sólidos gerados na escola, tendo como objetivo final a meta Lixo Zero.;11/02/2021;Não envolve a transferência de recursos financeiros
10;01/2020;UNIDO X SLU;15/01/2020;Desenvolver projetos de interesse do Distrito Federal, na área de tratamento de resíduos sólidos orgânicos por biodigestão anaeróbia;15/01/2024;Não envolve a transferência de recursos financeiros
