PESSOAL ATERRO CONTROLADO DO JÓQUEI;FISCAL DE PISO;OPERADOR DE MÁQUINA;MOTORISTA;ENCARREGADOS;SERVENTE;PESSOAL OPERACIONAL;PESSOAL ADMINISTRATIVO;OUTROS;TOTAL
VALOR AMBIENTAL Operação e manutenção;-;15;12;4;41;15;4;-;91
DEFENDER Fiscal de piso;60;-;8;4;-;-;;-;72
TOTAL;60;15;20;8;41;15;4;;163
