;TIPO DE DESPESA;;;TOTAL;;;MÉDIA/MÊS;
;Pessoal técnico administrativo;;-;;;-;;
;Limpeza Pública;;R$ 4.523.896;;;R$ 376.991;;
;Obras /Materiais Permanentes;;R$ 265.325;;;R$ 22.110;;
;Manutenção Administrativa;;R$ 10.924;;;R$ 910;;
;TOTAL;;;R$ 4.800.145;;;R$ 400.012;
