Endereço;Setor Habitacional;RA;Data;Nº
SHSN Ch. 75 Conj. F (Trecho III) (QUEIMADO);Sol Nascente;Ceilândia;10/16;1
SHSN Ch. 73 Conj. B Casa 03 - Colégio 66;Sol Nascente;Ceilândia;10/16;2
SHSN Condomínio Gêneses Conj. G (QUEIMADO);Sol Nascente;Ceilândia;10/16;3
SHSN Ch. 115 Conj. C - Rotatória;Sol Nascente;Ceilândia;10/16;4
SHSN Ch. 81/82 Lote 02 - Lava Jato 02;Sol Nascente;Ceilândia;10/16;5
SHSN Ch. 81 Lote 02 - Feira;Sol Nascente;Ceilândia;10/16;6
SHSN Ch. 113 Lote 02 - Depósito de Gás;Sol Nascente;Ceilândia;10/16;7
SHSN QNP 27 A/E 01 - P. Norte - Japão da Construção;Sol Nascente;Ceilândia;10/16;8
SHSN QNP 25 A/E - P. Norte - Vila Olímpica;Sol Nascente;Ceilândia;10/16;9
SHSN QNP 11 A/E - P. Norte - Carroceiro (QUEIMADO);Sol Nascente;Ceilândia;10/16;10
SHSN Qd. 17 Condomínio Pinheiro - Brasil;Sol Nascente;Ceilândia;04/17;11
SHSN Ch. 150 Qd. 2 Lote 01 - Búfalos (Trecho I);Sol Nascente;Ceilândia;04/17;12
SHSN Ch. 51 A - Palmeiras (Trecho I);Sol Nascente;Ceilândia;04/17;13
SHPS Qd. 501 Conj. em frente à Igreja Pentecostal;Pôr do Sol;Ceilândia;12/17;14
SHPS Qd. 504 Casa 10 - fim da rua principal;Pôr do Sol;Ceilândia;12/17;15
SHPS Conj. J Casa 32 - ao lado do Colégio 67;Pôr do Sol;Ceilândia;12/17;16
SHPS Qd. 701 Conj. A Casa 01;Pôr do Sol;Ceilândia;12/17;17
SHPS Qd. 202 Conj. C Casa 03;Pôr do Sol;Ceilândia;12/17;18
SHSL St. Leste Rua 32 Qd. 39 Lote 61 - Caesb;Santa Luzia;Estrutural;12/17;19
SHSL em frente à Qd. 21 Lote 210 ao lado da Qd. 24 - Parada do prefeito;Santa Luzia;Estrutural;12/17;20
SHSL St. Leste Rua 15 Qd. 16 Lote 49 a 51 Igreja Santa Luzia;Santa Luzia;Estrutural;12/17;21
SHSL ao lado da cerca do Lixão, entrada para Santa Luzia;Santa Luzia;Estrutural;12/17;22
SHSL próximo ao campo sintético final da rua;Santa Luzia;Estrutural;12/17;23
SHSN Ch. 36 - Madureira;Sol Nascente;Ceilândia;01/18;24
SHSN Quadra 201/202 -Tabajara;Sol Nascente;Ceilândia;01/18;25
SHSN praça em frente à Escola Classe Rural 40;Sol Nascente;Ceilândia;01/18;26
SHSN AVC 311 Ch. 94 A (Trecho II);Sol Nascente;Ceilândia;01/18;27
