;IRR BRAZLÂNDIA;;;;;;;
Mês;;;;Quantidade Mensal;;;Quantidade Mensal de;
;;;;Recebida (Ton);;;Rejeito (Ton);
;Janeiro;;31,07;;;0,74;;
;Fevereiro;;27,54;;;0,69;;
;Março;;36,39;;;5,02;;
;Abril;;21,875;;;0,95;;
;Maio;;26,87;;;0,46;;
;Junho;;26,5;;;0,24;;
;Julho;;26,74;;;0,24;;
;Agosto;;24,61;;;0,41;;
;Setembro;;26,84;;;0,82;;
;Outubro;;38,001;;;0,78;;
;Novembro;;44,19;;;1,1;;
Dezembro;;;66,90;;;0,91;;
;TOTAL;;;397,53;;;12,68;
