;REGIÃO ADM.;;;Nº;;;ENDEREÇO;;;LOCALIZAÇÃO;
Águas Claras;;;01;;;Avenida Jacarandá, Lote 24, próximo ao terminal de Furnas.;;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.84757566,-48.03265395;;
Plano Piloto;;;02;;;Núcleo de Limpeza de Brasília, Avenida das Nações, L4 Sul.;;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.84177988,-47.91096569;;
Brazlândia;;;03;;;Núcleo de Limpeza de Brazlândia – localizado na Área Especial 02 Norte, Lote K, Setor Norte.;;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.67281723,-48.192173;;
;;;04;;;Quadra 33, Área Especial nº 3, Vila São José, BR 430, Km 01, Sentido Capão da Onça – Rodeador.;;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.664977,-48.18775;;
Ceilâ ndia;;;05;;;Núcleo de Limpeza de Ceilândia – localizado na QNN 29 Módulos G a K Área Especial.;;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.81270886,-48.12454605;;
;;;06;;;QNP 28 Área Especial – P Sul s/nº Área da Usina do SLU.;;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.84354118,-48.13006723;;
;;;07;;;QNM 27, lote C – Pátio de Serviço da Administração Regional de Ceilândia.;;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.820517,-48.094682;;
Gama;;;08;;;Núcleo de Limpeza do Gama – Avenida Contorno localizado na Área Especial, Lote 02, Setor Norte.;;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.99883162,-48.06243486;;
;;;09;;;Área lindeira dos lotes entre as A.E. 06, QD. 06 e A.E. 12, QD. 12, Setor Sul.;;;http://maps.google.com/maps?z=12&t=m&q=loc:-16.02116397,-48.08499481;;
Guará;;;10;;;SRIA IIA QE 25 Área Especial do CAVE.;;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.82291228,-47.97350266;;
;;;11;;;Avenida Contorno, Lote “A” da Área Especial 10 – SRIA, Guará 2.;;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.8444048,-47.96532844;;
Lago Norte;;;12;;;Granja do Torto: Vila Operária, encontro entre a Av. Gaia e a R. 05.;;;https://www.google.com/maps?z=12&t=m&q=loc:-15.701919,-47.908809;;
Paranoá;;;13;;;Quadra 05, Conjunto D, Lote 4.;;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.77920867,-47.78561228;;
Planaltina;;;14;;;Núcleo de Limpeza Urbana de Planaltina – localizado na Área Especial 02, lote 11/12 Setor Norte.;;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.61110973,-47.65116882;;
Recanto das Emas;;;15;;;Av. Recanto das Emas Qd. 206/300 Centro Urbano (Administração Regional).;;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.90556716,-48.0760036;;
Riacho Fundo II;;;16;;;QN 20, Conjunto 01, Lote 01.;;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.888857,-48.053527;;
Samambaia;;;17;;;QR 608 de Samambaia Norte, na área verde ao Lado do Conjunto 07.;;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.85593041,-48.08134493;;
;;;18;;;QS 427, AE, Lote 04.;;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.891698,-48.134085;;
Santa Maria;;;19;;;Fazenda Saia Velha, próximo ao conjunto D da quadra QR 219.;;;http://maps.google.com/maps?z=12&t=m&q=loc:-16.00654507,-47.98486903;;
;;;20;;;Próximo ao LT 01, Conj. “C”, AC 104.;;;http://maps.google.com/maps?z=12&t=m&q=loc:-16.03188129,-48.03538039;;
São Sebastião;;;21;;;Quadra 305, Conjunto 14 AE 02.;;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.89975474,-47.78879709;;
;;;22;;;Bairro Crixá, Rua 33, Lote 10.;;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.91538419,-47.75888502;;
Sobradinho I;;;23;;;Quadra 10, Área Especial 01.;;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.640083,-47.796979;;
;;;24;;;Área Especial para Indústrias 03, Lote 10.;;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.6553151,-47.78291509;;
Sobradinho II;;;25;;;Entre o córrego Braço do Paranoazinho e o Conjunto L da Quadra 4.;;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.64840908,-47.83044648;;
Taguatinga;;;26;;;Núcleo de Limpeza Urbana de Taguatinga – localizado na QNG 47 Área Especial nº 09.;;;http://maps.google.com/maps?z=12&t=m&q=loc:-15.79932594,-48.07367325;;
