;;;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;Total;;;Média;
;Lote I;;21.722,42;18.662,97;20.474,21;18.913,49;19.760,62;18.216,22;18.384,66;19.867,87;19.495,16;20.808,65;21.728,73;22.627,76;240.662,76;;;20.055,23;
;Lote II;;17.529,18;15.525,97;16.716,83;15.445,03;15.951,38;14.988,26;15.284,47;16.162,08;15.938,34;17.139,48;17.297,81;18.326,36;196.305,19;;;16.358,77;
;Lote III;;24.484,25;21.307,21;23.559,42;21.603,34;22.393,91;21.009,76;20.757,98;22.073,71;21.866,99;23.874,00;24.556,63;26.224,08;273.711,28;;;22.809,27;
;Total;;63.735,85;55.496,15;60.750,46;55.961,86;58.105,91;54.214,24;54.427,11;58.103,66;57.300,49;61.822,13;63.583,17;67.178,20;710.679,23;;;59.223,27;
