SHSL Em frente à Qd. 21 Lote 210 ao lado da Qd. 24 - Parada do prefeito;Santa Luzia;20
SHSL St. Leste Rua 15 Qd. 16 Lote 49 a 51 Igreja Santa Luzia;Santa Luzia;21
SHSL ao lado da cerca do Lixão, entrada para Santa Luzia;Santa Luzia;22
SHSL próximo ao campo sintético final da rua;Santa Luzia;23
SHSN Ch. 36 - Madureira;Sol Nascente;24
SHSN Quadra 201/202 -Tabajara;Sol Nascente;25
SHSN Praça em frente à Escola Classe Rural 40;Sol Nascente;26
SHSN AVC 311 Ch. 94 A (Trecho II);Sol Nascente;27
SHSN Ch. 94 - Escola Rural;Sol Nascente;28
SHSN QNP 29 Entrada do Cachoeirinha;Sol Nascente;29
SHSN Ch. 128 - ao lado do CEF 28 de Ceilândia;Sol Nascente;30
SHSN Ch. 75 Conj. G - ao lado da quadra esportiva;Sol Nascente;31
SHSN Qd. 17 Condomínio Pinheiro - Brasil - Duplicado;Sol Nascente;32
SHSN QNP 25 A/E - P. Norte - Vila Olímpica - Duplicado;Sol Nascente;33
SHSN QNP 11 A/E - P. Norte - Carroceiro - Duplicado;Sol Nascente;34
SHSN Condomínio Madureira (Trecho I);Sol Nascente;35
SHA Próximo à Ch. 131 Lotes 22 e 23;Arniqueiras;36
SHA Conj. 01 Ch. 58 A Lote 13 - Arniqueiras;Arniqueiras;37
SHA Conj. 02 - Em frente ao Armazém Pais e Filhos;Arniqueiras;38
SHA Conj. 02 Ch. 54 A;Arniqueiras;39
SHA Conj. 03 Ch. 271 a 85 - Em frente ao balão;Arniqueiras;40
