;MÊS;;;TOTAL DOAÇÃO (T)
;Janeiro;;;-
;Fevereiro;;;1,13
;Março;;;10,02
;Abril;;;-
;Maio;;;4,01
;Junho;;;-
;Julho;;;3,74
;Agosto;;;-
;Setembro;;;-
;Outubro;;;7,17
;Novembro;;;4,86
;Dezembro;;;1,3
;TOTAL;;;32,23
