;DIVISÃO DO ORÇAMENTO (R$);;;;;;;;;;;;;;;;
TIPO DE DESPESA;;;;VALOR LIQUIDADO;;;;;;;;;;;;;
;;;;Pessoal Técnico;;Limpeza Pública;;;Obras /Mat. Perm.;;;;Manutenção;;Total mensal;;
;;;;Administrativo*;;;;;;;;;Administrativa;;;;
;Janeiro;;R$ 6.060.206;;;R$ 43.267.546;;;R$ 555.384;;;R$ 614.194;;;;R$ 50.497.329;
;Fevereiro;;R$ 5.999.361;;;R$ 39.896.088;;;R$ 302.989;;;R$ 615.010;;;;R$ 46.813.449;
;Março;;R$ 6.091.203;;;R$ 42.471.349;;;-;;;R$ 597.614;;;;R$ 49.160.167;
;Abril;;R$ 7.041.923;;;R$ 43.460.955;;;R$ 575.694;;;R$ 634.255;;;;R$ 51.712.827;
;Maio;;R$ 7.072.923;;;R$ 44.211.046;;;R$ 165.928;;;R$ 632.319;;;;R$ 52.082.217;
;Junho;;R$ 7.428.339;;;R$ 44.288.150;;;-;;;R$ 646.118;;;;R$ 52.362.607;
;Julho;;R$ 7.859.241;;;R$ 50.082.702;;;-;;;R$ 638.834;;;;R$ 58.580.777;
;Agosto;;R$ 7.599.489;;;R$ 51.018.629;;;R$ 11.879;;;R$ 600.629;;;;R$ 59.230.626;
;Setembro;;R$ 7.690.960;;;R$ 50.088.567;;;R$ -;;;R$ 429.805;;;;R$ 58.209.332;
;Outubro;;R$ 7.671.882;;;R$ 64.003.935;;;R$ 1.079.807;;;R$ 639.779;;;;R$ 73.395.402;
;Novembro;;R$ 7.753.329;;;R$ 51.655.074;;;-;;;R$ 619.656;;;;R$ 60.028.059;
;Dezembro;;R$ 8.836.130;;;R$ 3.432.986;;;-;;;R$ 53.859;;;;R$ 12.322.975;
;TOTAL;;;R$ 87.104.764;;;R$ 529.506.773;;;R$ 2.743.353;;;R$ 6.930.728;;;R$ 626.285.618;
;Média/Mês;;;R$ 29.034.921;;;R$ 176.502.258;;;R$ 914.451;;;R$ 2.310.243;;;R$ 69.587.291;
