;MÊS;;;TOTAL DOAÇÃO (T);
;Janeiro;;11,12;;
;Fevereiro;;24,27;;
;Março;;16,86;;
;Abril;;12,21;;
;Maio;;9,41;;
;Junho;;25,63;;
;Julho;;1;;
;Agosto;;2;;
;Setembro;;2;;
;Outubro;;1,59;;
;Novembro;;0,00;;
;Dezembro;;0,00;;
;TOTAL;;;116,20;
