;MÊS;;;VOLUME (M³);
;Janeiro;;56.657,1;;
;Fevereiro;;50.093,5;;
;Março;;47.090,0;;
;Abril;;44.628,8;;
;Maio;;11.407,1;;
;Junho;;21.205,9;;
;Julho;;22.151,5;;
;Agosto;;25.020,0;;
;Setembro;;27.507,0;;
;Outubro;;47.965,0;;
;Novembro;;50.977,0;;
;Dezembro;;55.349,0;;
;Total;;;460.051,8;
;Média diária;;;1.277,9;
