;;;;;;;;;RODRIGUES GUEDES/ MURILO DE OLIVEIRA CAIXÊTA/ GABRIEL MIRANDA SERRÃO;;
3;54/2018;VALOR AMBIENTAL LTDA;05/09/2019;MONITORAMENTO E MANUTENÇÃO DA URE;;;04/09/2023;R$ 25.300.920,00;;ALLAN ADJUTO CHAVES DE SOUSA, JELINGTON;
;;;;;;;;;;HENRIQUE DE AZEVEDO, JOÃO ALVES DA SILVA,;
;;;;;;;;;;VINICIUS DE ABREU MENDONÇA e GUSTAVO DE;
;;;;;;;;;;OLIVEIRA COSTA;
4;24/2019;CONSITA TRATAMENTO DE RESIDUOS S/A;20/09/2019;SERVIÇO DE COLETA URBANA - LOTE III;;;20/09/2024;R$ 677.575.405,48;;IRIS MARIA DOS SANTOS/ ESTER DE SOUZA REIS/;
;;;;;;;;;;DEUSIMAR CARLOS PINTO/ CARLOS HENRIQUE SILVA/;
;;;;;;;;;;ADALMY ARAÚJO BEZERRA/ RAIMUNDO MACHADO;
;;;;;;;;;;DOS SANTOS/ RÔMULO COSTA MELO/ THAÍS MATOS;
;;;;;;;;;;RESENDE/ RITA DE CÁSSIA CARDOSO LEITE/ DANIEL;
;;;;;;;;;;MARLON RODRIGUES GUEDES/ GABRIEL MIRANDA;
;;;;;;;;;;SERRÃO/ GLEICY KELLEN DOS;
;;;;;;;;;;SANTOS FAUSTINO/ TERESA CRISTINA SILVA ALVES/;
;;;;;;;;;;LUCICLÉIA CASTRO DE OLIVEIRA/ ADRIANO WAMBIER;
;;;;;;;;;;GUSSO/ EFIGÊNIA LUSTOSA NOGUEIRA/ PEDRO;
;;;;;;;;;;HENRIQUE FERREIRA CASTRO MAGALHÃES;
5;19/2020;HYDROS SOLUÇÕES AMBIENTAIS LTDA;23/10/2020;PRESTAÇÃO DE SERVIÇOS TRATAMENTO DE CHORUME;;;07/11/2023;GLOBAL R$ 20.622.753,82;;ANA SOFIA CAVALCANTI JUCÁ, BRUNO DOS SANTOS;
;;;;;;;;;;NEVES, JULIANA FRUTUOSO GOMES, e THIAGO BRAGA;
;;;;;;;;;;PINHEIRO;
6;03/2021;BELFORT GERENCIAMENTO DE RESÍDUOS LTDA;05/03/2021;;SERVIÇOS DE COLETA,;;04/03/2023;GLOBAL: R$ 4.269,24;ANDRÉ LUIZ JUNQUEIRA GUIMARÃES/ FRANCISCO ANTONIO MENDES JORGE/ MANOEL MESSIAS FRANCISCO SOUZA;;
;;;;;TRANSPORTE, TRATAMENTO E;;;;;;
;;;;;DISPOSIÇÃO FINAL, DE FORMA;;;;;;
;;;;;REGULAR, DOS RESÍDUOS DE;;;;;;
;;;;;SERVIÇOS DE SAÚDE;;;;;;
7;20/2021;VALOR AMBIENTAL LTDA;25/08/2021;;Prestação de serviços de;;01/09/2023;GLOBAL : R$ 25.494.439,46;JOSÉ NILTON ARRAIS DA SILVA e JOSÉ ROMILDO DOS SANTOS;;
;;;;;operação, controle e manutenção;;;;;;
;;;;;da Usina de Tratamento;;;;;;
;;;;;Mecânico Biológico com;;;;;;
;;;;;produção de composto cru da;;;;;;
;;;;;Ceilândia (UTMB – Ceilândia) e da;;;;;;
;;;;;Usina de Tratamento Mecânico;;;;;;
;;;;;Biológico da Asa Sul (UTMB – Asa;;;;;;
;;;;;"Sul); operação de compostagem";;;;;;
;;;;;na Usina de Tratamento;;;;;;
;;;;;Mecânico Biológico da Ceilândia;;;;;;
;;;;;"(UTMB – Ceilândia); transporte";;;;;;
;;;;;de composto cru da Usina de;;;;;;
;;;;;Tratamento Mecânico Biológico;;;;;;
;;;;;da Asa Sul (UTMB – Asa Sul) até a;;;;;;
;;;;;Usina de Tratamento Mecânico;;;;;;
;;;;;Biológico da Ceilândia (UTMB –;;;;;;
;;;;;"Ceilândia); e transporte de rejeito";;;;;;
;;;;;das Usinas Ceilândia (UTMB –;;;;;;
;;;;;Ceilândia) e Asa Sul (UTMB – Asa;;;;;;
;;;;;Sul) até o Aterro Sanitário de;;;;;;
;;;;;"Brasília; e transporte de chorume";;;;;;
;;;;;das Usinas Ceilândia (UTMB –;;;;;;
;;;;;Ceilândia) até a Unidade de;;;;;;
;;;;;Recebimento de Entulho - URE;;;;;;
