;RESULTADOS PARA A COLETA SELETIVA INCLUSIVA POR COOPERATIVA/ASSOCIAÇÃO;;;;;;;;;;;;;
;Associação/Cooperativa;;;Massa Coletada (Ton);;;Rejeito (Ton);;;Total Aproveitado (Ton);;;Aproveitamento (%);
CONSTRUIR;;;216,45;;;16,14;;;200,31;;;93%;;
COOPERDIFE;;;1.611,48;;;237,93;;;1373,55;;;85%;;
COOPERE;;;347,71;;;65,82;;;281,89;;;81%;;
COOPERNOES;;;222,80;;;20,48;;;202,32;;;91%;;
CORTRAP;;;517,26;;;4,38;;;512,88;;;99%;;
CRB;;;306,35;;;15,08;;;291,27;;;95%;;
CRV;;;834,42;;;54,12;;;780,30;;;94%;;
CTELS;;;273,50;;;16,53;;;256,97;;;94%;;
ECOLIMPO;;;341,24;;;73,04;;;268,20;;;79%;;
FLOR DO CERRADO;;;280,41;;;30,55;;;249,86;;;89%;;
NOVA SUPERACAO;;;145,80;;;13,41;;;132,39;;;91%;;
PLANALTO;;;272,30;;;23,99;;;248,31;;;91%;;
PLASFERRO;;;392,04;;;17,93;;;374,11;;;95%;;
R3;;;1.524,17;;;363,60;;;1160,57;;;76%;;
RECICLA BRASILIA;;;536,63;;;0,00;;;536,63;;;100%;;
RECICLA MAIS;;;246,90;;;32,30;;;214,60;;;87%;;
RECICLA MAIS BRASIL;;;480,81;;;43,04;;;437,77;;;91%;;
RECICLA MAIS BRASIL II;;;1.411,29;;;269,81;;;1141,48;;;81%;;
RECICLE A VIDA;;;810,35;;;107,22;;;703,13;;;87%;;
RECICLO;;;298,22;;;25,04;;;273,18;;;92%;;
RENASCER;;;254,32;;;35,57;;;218,75;;;86%;;
VENCENDO OBSTACULOS;;;155,26;;;11,16;;;144,10;;;93%;;
;Total;;;11.479,71;;;1.477,1;;;10.002,6;;;89%;
