;ENTREVISTAS CONCEDIDAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Janeiro;;;Fevereiro;;;Março;;;Abril;Maio;;;Junho;;;Julho;;;Agosto;;;Setembro;;;Outubro;;;Novembro;;;Dezembro;
;Emissoras de TV;;6;;;7;;;9;;;6;;7;;4;;;6;;;3;;;2;;;-;;;1;;;2;;
;Jornais;;-;;;-;;;-;;;-;;-;;-;;;-;;;-;;;-;;;-;;;1;;;-;;
;Portais;;-;;;1;;;-;;;-;;-;;-;;;-;;;-;;;-;;;-;;;-;;;-;;
;Emissoras de rádio;;-;;;-;;;-;;;2;;-;;-;;;1;;;-;;;-;;;-;;;-;;;2;;
;Outros;;-;;;-;;;1;;;-;;-;;-;;;-;;;-;;;-;;;-;;;-;;;-;;
Total parcial;Total parcial;;6;;;8;;;10;;;8;;7;;4;;;7;;;3;;;2;;;0;;;2;;;4;;
TOTAL;;;;61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
