;URE - Aterramento (2021);;;;;;;;;;;;;;;;
Mês;;;;OPERAÇÃO E;;Custo por tonelada;;EXECUÇÃO DOS;;Custo por tonelada;EXECUÇÃO DOS SERVIÇOS DE TRITURAÇÃO DE GALHADAS E PODAS;;;Custo por tonelada;;Custo Total -;
;;;;MANUTENÇÃO DA;;;;SERVIÇOS DE;;;;;;;;Operação,;
;;;;UNIDADE DE;;;;BRITAGEM DE;;;;;;;;Manutenção,;
;;;;RECEBIMENTO DE;;;;RESÍDUOS DA;;;;;;;;trituração e;
;;;;ENTULHOS;;;;CONSTRUÇÃO CIVIL;;;;;;;;britagem;
;Janeiro;;R$ 1.448.967,02;;;R$ 12,92;R$ 170.994,51;;;R$ 9,26;R$ 660,47;;;R$ 8,03;R$ 1.620.622,00;;
;Fevereiro;;R$ 1.374.038,51;;;R$ 12,92;R$ 124.158,45;;;R$ 9,26;R$ 542,11;;;R$ 8,03;R$ 1.498.739,07;;
;Março;;R$ 1.656.615,97;;;R$ 12,92;R$ 230.938,66;;;R$9,26;R$ 1.768,93;;;R$ 8,03;R$ 1.889.323,56;;
;Abril;;R$ 1.737.552,01;;;R$ 12,92;R$ 258.207,88;;;R$ 9,26;R$ 1.545,94;;;R$ 8,03;R$ 1.997.305,83;;
;Maio;;R$ 1.590.389,85;;;R$ 12,92;R$ 282.819,48;;;R$ 9,26;R$ 1.456,72;;;R$ 8,03;R$ 1.874.666,05;;
;Junho;;R$ 1.620.350,56;;;R$ 12,92;R$ 271.245,96;;;R$ 9,26;R$ 1.059,00;;;R$ 8,03;R$ 1.892.655,52;;
;Julho;;R$ 1.613.339,38;;;R$ 12,66;R$ 309.145,06;;;R$ 8,82;R$ 1.163,39;;;R$ 8,03;R$ 1.923.647,83;;
;Agosto;;R$ 1.704.338,61;;;R$ 12,83;R$ 301.253,15;;;R$ 9,08;R$ 600,74;;;R$ 8,68;R$ 2.006.192,51;;
;Setembro;;R$ 1.540.394,82;;;R$ 12,83;R$ 257.849,30;;;R$ 9,08;R$ 1.243,50;;;R$ 8,68;R$ 1.799.487,62;;
;Outubro;;R$ 1.484.134,11;;;R$ 12,83;R$ 244.785,54;;;R$ 9,08;R$ 975,11;;;R$ 8,68;R$ 1.729.894,76;;
;Novembro;;R$ 1.477.551,68;;;R$ 12,83;R$ 174.240,21;;;R$ 9,08;R$ 996,55;;;R$ 8,68;R$ 1.652.788,44;;
;Dezembro;;R$ 1.654.577,73;;;R$ 13,21;R$ 153.728,74;;;R$ 9,32;R$ 932,63;;;R$ 9,36;R$ 1.809.239,10;;
;TOTAL;;;R$ 18.902.250,25;;;;R$ 2.779.366,94;;;;R$ 12.945,09;;;;R$ 21.694.562,29;
;Média;;;R$ 1.575.187,52;;;;R$ 231.613,91;;;;R$ 1.078,76;;;;R$ 1.807.880,19;
