;;;Volume (m³);;
;Janeiro;;42.641,0;;
;Fevereiro;;40.078,0;;
;Março;;61.936,0;;
;Abril;;65.030,0;;
;Maio;;45.360,0;;
;Junho;;41.160,0;;
;Julho;;13.000,0;;
;Agosto;;9.300,0;;
;Setembro;;8.210,0;;
;Outubro;;9.990,0;;
;Novembro;;19.090,0;;
;Dezembro;;16.670,0;;
;Média diária;;;1.020,5;
;Total;;372.465,0;;
