Endereço;Setor Habitacional;RA;Data;Nº
SHSN Ch. 94 - Escola Rural;Sol Nascente;Ceilândia;01/18;28
SHSN QNP 29 Entrada do Cachoerinha;Sol Nascente;Ceilândia;01/18;29
SHSN Ch. 128 - ao lado do CEF 28 de Ceilândia;Sol Nascente;Ceilândia;01/18;30
SHSN Ch. 75 Conj. G - ao lado da quadra esportiva;Sol Nascente;Ceilândia;01/18;31
SHSN Qd. 17 Condomínio Pinheiro - Brasil - Duplicado;Sol Nascente;Ceilândia;04/18;32
SHSN QNP 25 A/E - P. Norte - Vila Olímpica - Duplicado;Sol Nascente;Ceilândia;04/18;33
SHSN QNP 11 A/E - P. Norte - Carroceiro - Duplicado;Sol Nascente;Ceilândia;04/18;34
SHSN Condomínio Madureira (Trecho I);Sol Nascente;Ceilândia;05/18;35
SHA Próximo à Ch. 131 Lotes 22 e 23;Arniqueiras;Águas Claras;05/18;36
SHA Conj. 01 Ch. 58 A Lote 13 - Arniqueiras;Arniqueiras;Águas Claras;05/18;37
SHA Conj. 02 - Em frente ao Armazém Pais e Filhos;Arniqueiras;Águas Claras;05/18;38
SHA Conj. 02 Ch. 54 A;Arniqueiras;Águas Claras;05/18;39
SHA Conj. 03 Ch. 271 a 85 - Em frente ao balão;Arniqueiras;Águas Claras;05/18;40
SHA Conj. 05 Ch. 124 Lotes 1 a 30 (em frente) Arniqueiras - Entrada Batcaverna;Arniqueiras;Águas Claras;05/18;41
Atrás da passarela, em frente à rua do Governador;Vicente Pires;Vicente Pires;05/18;42
SHPS Qd. 105 Conj. B Casa 01 - Esquina;Pôr do Sol;Ceilândia;06/18;43
SHPS Qd. 201 Conj. C Casa 01 - Igreja Universal;Pôr do Sol;Ceilândia;06/18;44
SHPS Qd. 207 Conj. C Casa 01 (em frente) - Mercado Markão;Pôr do Sol;Ceilândia;06/18;45
SHPS Qd. 502 Conj. D Casa 2 A (em frente) - Campinho;Pôr do Sol;Ceilândia;06/18;46
SHPS Qd. 703 Conj. A Casa 04 - Colégio 67;Pôr do Sol;Ceilândia;06/18;47
SHSN Condomínio Gêneses Conj. O Casa 02 - Rua das Igrejas (Trecho III);Sol Nascente;Ceilândia;06/18;48
SHSN Ch. 01 Conj. B Casa 16 - Poste (Trecho III);Sol Nascente;Ceilândia;06/18;49
SHSN Ch. 73 Conj. K Casa 07 - 2° Ponto Colégio 66 (Trecho III);Sol Nascente;Ceilândia;06/18;50
SHSN Ch.07 Conj. A lote 39 - Mercado Compre Mais (Trecho III);Sol Nascente;Ceilândia;06/18;51
SHSN Ch. 73 Conj. B Lote 01 Loja 02 - Trem Bão 01 (Trecho III);Sol Nascente;Ceilândia;06/18;52
SHSN Ch.02 Conj. A1 Lote 01/A - Trem Bão 02 (Trecho III);Sol Nascente;Ceilândia;06/18;53
SHSN Ch. 115 Lote 01 Loja 01 - Supermercado Ideal (Trecho III);Sol Nascente;Ceilândia;06/18;54
SHSN QNP 27 Conj. A Lote 24 - Garagem da Sol (Trecho III);Sol Nascente;Ceilândia;06/18;55
SHSN Condomínio Cachoeirinha (Trecho II);Sol Nascente;Ceilândia;06/18;56
