(EPI) Construção de Pontos de Entrega Voluntária - PEV's Papa- Entulho (2020);330.000,00;-330.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
(EPI) Construção de Pontos de Entrega Voluntária - PEV's RA XIII Santa Maria;0,00;100.000,00;0,00;0,00;0,00;100.000,00;100.000,00;0,00;0,00
(EPI) Construção de Pontos de Entrega Voluntária - PEV's RA Núcleo Bandeirante;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
(EPI) Construção de Pontos de Entrega Voluntária - PEV's RA Sobradinho II;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Recuperação de Unidades Operacionais de Manejo de Resíduos Sólidos;550.000,00;-402.264,00;109.627,40;20.754,62;0,00;17.353,98;17.352,77;1,21;0,00
(EPI) Recuperação de Unidades operacionais de manejo de resíduos sólidos;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Construção de Unidades Operacionais de Manejo de Resíduos Sólidos;50.000,00;-50.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Construção do Aterro Sanitário Oeste - Samambaia;900.000,00;-580.500,00;176.000,00;43.500,00;0,00;100.000,00;0,00;100.000,00;0,00
Promoção da educação ambiental e ações sustentáveis;100.000,00;-70.000,00;26.000,00;4.000,00;0,00;0,00;0,00;0,00;0,00
(EPI)Aquisição de veículos e equipamentos para cooperativas de catadores do DF;400.000,00;-400.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Execução de sentenças judiciais;1.561.910,00;-560.000,00;0,00;138.846,00;0,00;863.064,00;818.825,87;44.238,13;818.825,87
Formação do patrimônio do servidor público;5.781.805,00;0,00;0,00;0,00;0,00;5.781.805,00;5.781.805,00;0,00;5.271.422,29
Conversão de Licença Prêmio em Pecúnia;5.354.976,00;5.791.520,00;0,00;29.354,48;0,00;11.117.141,52;11.117.140,93;0,59;11.117.140,93
