PLASFERRO;0;0;0;0;8,36;26,12;29,35;32,07;25,94;21,93;21,14;19,76;184,67
IRR SCIA NOVO;529,73;528,66;476,51;458,24;455,42;529,19;480,70;489,38;523,82;468,43;500,45;367,73;5.808,26
SUMA BRASIL;75,29;85,09;112,07;103,6;95,08;0,92;14,83;0,39;19,75;28,01;48,13;6,57;589,73
VALOR AMBIENTAL LTDA;454,44;443,57;364,44;354,64;360,34;508,5;447,65;466,36;485,60;422,63;433,42;330,99;5.072,58
CORTRAP;0;0;0;0;0;19,77;18,22;22,63;18,47;17,79;18,90;30,17;145,95
IRR SAAN;63,32;92,71;157,26;94,81;135,95;161,60;238,04;197,71;164,16;208,89;221,68;117,08;1.853,21
SUMA BRASIL;9,6;12,27;11,59;0;3,03;1,39;4,98;3,54;13,95;32,47;59,68;10,91;163,41
VALOR AMBIENTAL LTDA;53,72;80,44;145,67;94,81;132,92;160,21;233,06;194,17;150,21;176,42;162,00;106,17;1.689,80
IRR BRAZLÂNDIA;31,07;27,54;36,39;21,88;26,87;26,5;26,74;24,61;26,84;38,00;44,19;66,90;397,53
ACOBRAZ;31,07;27,54;36,39;21,88;12,12;0;0;0;0,00;0,00;0,00;0,00;129,00
CRB;0;0;0;0;14,75;26,5;26,74;24,61;26,84;38,00;44,19;66,90;268,53
IRR PARANOÁ;21,29;19,98;23,98;24,94;62,98;64,11;63,96;129,55;81,12;24,21;106,15;129,45;780,62
SUMA BRASIL;0;0;0;0;1,1;0;0;0;0,00;0,00;0,00;0,00;1,10
VALOR AMBIENTAL LTDA;0;0;0,73;3,78;2,08;1,73;0;22,92;22,36;24,21;23,62;15,70;117,13
RECICLA MAIS BRASIL;21,29;19,98;23,25;21,16;25,3;20,10;18,75;66,23;25,47;33,07;30,86;76,82;338,48
RECICLA MAIS BRASIL II;0;0;0;0;34,5;42,28;45,21;40,40;33,29;39,63;51,67;36,93;323,91
SIA - LINHA DO TREM;203,03;257,58;499,05;445,6;309,39;301,72;347,34;431,58;389,56;439,53;418,80;300,89;4.344,07
SUMA BRASIL;63,68;144,81;381,75;339,82;208,5;225,48;256,80;344,09;298,76;249,53;346,01;213,12;3.072,35
VALOR AMBIENTAL LTDA;120,53;99,24;97,68;87,89;84,43;61,67;70,71;66,27;64,41;171,28;56,60;68,47;1.049,18
RENASCER;18,82;13,53;19,62;17,89;16,46;14,57;19,83;21,22;26,39;18,72;16,19;19,30;222,54
