;VALORES DAS FONTES;;;;;;;;;;;;;;;;;;;
;FONTE;;;100;;;114;;;161;;;183;;;220;;;TOTAL;
;Janeiro;;R$ 108.975.234,51;;;-;;;-;;;R$ 476.673,99;;;R$ 8.245,70;;;;109.460.154,20;
;Fevereiro;;R$ 61.480.191,33;;;R$ 8.389.008,42;;;-;;;R$ 57.104,68;;;R$ -;;;;69.926.304,43;
;Março;;R$ 50.568.745,16;;;R$ 19.882.430,97;;;-;;;R$ 112.366,87;;;R$ 39.124,76;;;;70.602.667,76;
;Abril;;R$ 30.018.152,74;;;R$ 51.278.302,68;;;-;;;R$ 76.839,83;;;R$ 5.203,00;;;;81.378.498,25;
;Maio;;R$ 19.283.761,44;;;R$ 35.971.670,54;;;-;;;R$ 120.738,03;;;R$ 75.404,99;;;;55.451.575,00;
;Junho;;R$ 40.688.235,15;;;R$ 32.922.662,25;;;-;;;R$ 38.558,15;;;R$ 179.362,60;;;;73.828.818,14;
;Julho;;R$ 39.313.022,68;;;R$ 27.037.255,52;;;-;;;R$ 82.020,78;;;R$ 25.510,85;;;;66.457.809,83;
;Agosto;;R$ 47.159.273,70;;;R$ 17.220.010,60;;;-;;;R$ 90.691,90;;;R$ 244.905,01;;;;64.714.881,20;
;Setembro;;R$ 59.370.875,89;;;R$ 6.130.618,40;;;-;;;R$ 4.495.604,05;;;R$ 947.128,15;;;;70.944.226,49;
;Outubro;;R$ 66.171.191,73;;;R$ 36.821,20;;;-;;;R$ 68.930,24;;;R$ 1.909.860,54;;;;68.186.803,71;
;Novembro;;R$ 61.189.026,67;;;R$ 50.202,37;;;R$ 6.487.442,58;;;R$ 3.530.578,98;;;R$ 1.963.299,27;;;;73.220.549,87;
;Dezembro;;R$ 33.129.207,97;;;R$ 1.129.286,79;;;R$ 1.698.308,42;;;R$ 372.236,91;;;R$ 1.995.335,55;;;;38.324.375,64;
;%;;;73,3%;;;23,7%;;;1,0%;;;1,1%;;;0,9%;;;100%;
;TOTAL;;;R$ 617.346.918,96;;;R$ 200.048.269,73;;;R$ 8.185.751,00;;;R$ 9.522.344,41;;;R$ 7.393.380,41;;;R$ 842.496.664,51;
