;;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;;;Total;;;Média;
;Lote I;;1.076,23;;;913,30;;;1.089,66;;;993,91;;;1.053,36;;;977,88;;;973,51;;;971,23;;;1.017,72;;;1.043,21;;;865,41;;;951,26;;;;11.926,68;;;993,89;
;Lote II;;339,91;;;231,64;;;225,48;;;201,62;;;250,35;;;230,38;;;338,25;;;323,08;;;355,25;;;342,66;;;318,38;;;392,19;;;;3.549,19;;;295,77;
;Lote III;;989,70;;;996,03;;;1.030,07;;;974,17;;;923,91;;;960,94;;;1.272,59;;;1.088,62;;;1.254,24;;;1.267,96;;;1.215,67;;;1.230,91;;;;13.204,81;;;1.100,40;
;Total;;;2.405,84;;;2.140,97;;;2.345,21;;;2.169,70;;;2.227,62;;;2.169,20;;;2.584,35;;;2.382,93;;;2.627,21;;;2.653,83;;;2.399,46;;;2.574,36;;;28.680,68;;;2.390,06;
