18;34/2018;ASSOCIAÇÃO DOS CATADORES E RECICLADORES DE RESÍDUOS SÓLIDOS DE BRAZLÂNDIA - ACOBRAZ;04/06/2018;Processamento de resíduos sólidos;04/06/2022;R$ 267.948,00;FRANCISCO ANTONIO MENDES JORGE / DIVINO ETERNO RIBEIRO
19;31/2018;RECICLE A VIDA COOPERATIVA DE CATADORES DO DF;05/06/2018;Processamento de resíduos sólidos;04/06/2022;R$ 1.094.094,00;FRANSCICO ANTONIO MENDES JORGE / ALEXANDRO DOS SANTOS HENRIQUES
20;33/2018;COOPERATIVA DE CATADORES DE MATERIAIS RECICLÁVEIS RENASCER;05/06/2018;Processamento de resíduos sólidos;04/06/2022;R$ 255.477,60;BRUNA KARLA SOARES ARAUJO / ALEXANDRO DOS SANTOS HENRIQUES
21;39/2018;ASSOCIAÇÃO PRE- COOPERATIVISTA DOS CATADORES E RECICLADORES DE RESÍDUOS SÓLIDOS DE CEILÂNDIA - APCORC;06/11/2018;Processamento de resíduos sólidos;09/11/2021;R$ 1.250.424,00;ANDRÉ LUIZ JUNQUEIRA GUIMARÃES
22;64/2018;ASSOCIAÇÃO DE CATADORES DE MATERIAIS RECICLAVEIS DO DF - RECICLA BRASÍLIA;18/12/2018;Coleta seletiva de resíduos recicláveis;31/07/2021;R$ 513.883,56;ANDRÉ LUIZ JUNQUEIRA GUIMARÃES / ALBA LUCIA BARROS MOREIRA RODRIGUES
23;67/2018;ASSOCIAÇÃO DE CATADORES DE MATERIAIS RECICLAVEIS DO DF - RECICLA BRASÍLIA;28/12/2018;Processamento de resíduos sólidos;31/07/2021;R$ 583.948,80;WESLEY DA SILVA FERNANDES / ISABELE NOVAIS OLIVEIRA
24;68/2018;ASOCIAÇÃO CENTRAL DE RECICLAGEM DO VARJÃO - CRV;28/12/2018;Processamento de resíduos sólidos;31/07/2021;R$ 477.533,16;WESLEY DA SILVA FERNANDES / ISABELE NOVAIS OLIVEIRA
25;01/2019;ASSOCIAÇÃO DE CATADORES RECICLA MAIS BRASIL;21/01/2019;Processamento de resíduos sólidos;31/07/2021;R$ 434.697,48;FRANCISCO ANTONIO MENDES JORGE
26;02/2019;COOPERATIVA DE RECICLAGEM DO DISTRITO FEDERAL E ENTORNO - COOPERDIFE;21/01/2019;Processamento de resíduos sólidos;31/07/2021;R$ 459.571,80;FRANCISCO ANTONIO MENDES JORGE
27;05/2019;COOPERATIVA DE TRABALHO DE CATADORES DE ECOLIMPO LTDA;21/01/2019;Processamento de resíduos sólidos;31/07/2021;R$ 434.479,20;FRANCISCO ANTONIO MENDES JORGE
