;NÚMERO DE VIAGENS;;;;;;;;;;;;;;;;
;Mês;;;Remoção Manual;;;Remoção Mecanizada;;;Remoção PEV;;;Outros;;;Total;
;Janeiro;;1.296;;;3.808;;;792;;;14.240;;;;20.136;
;Fevereiro;;1.362;;;3.689;;;833;;;14.708;;;;20.592;
;Março;;1.381;;;4.005;;;899;;;16.000;;;;22.285;
;Abril;;1.416;;;3.869;;;939;;;15.954;;;;22.178;
;Maio;;1.338;;;3.945;;;957;;;14.733;;;;20.973;
;Junho;;1.355;;;3.969;;;849;;;14.693;;;;20.866;
;Julho;;1.466;;;4.173;;;900;;;16.634;;;;23.173;
;Agosto;;1.466;;;4.310;;;926;;;15.604;;;;22.306;
;Setembro;;1.339;;;3.990;;;901;;;15.411;;;;21.641;
;Outubro;;1.470;;;4.293;;;1.002;;;17.252;;;;24.017;
;Novembro;;1.438;;;4.030;;;881;;;13.585;;;;19.934;
;Dezembro;;1.459;;;3.953;;;1.347;;;13.840;;;;20.599;
;TOTAL;;;16.786;;;48.034;;;11.226;;;182.654;;;258.700;
