;QUANTITATIVOS MENSAIS RECEPCIONADOS NO ASB (EM QUILOGRAMAS);;;;;;;;;;;;;;;;;;;;;;
;;;;Res. sól. domiciliares;;;Caixa de gordura;;;Animais mortos;;;Caesb;;;Grandes Geradores;;;Lodo tratado chorume;;;Total (t);
;Janeiro;;67.051.760,0;;;7.220,0;;;9.420,0;;;698.080,0;;;1.889.290,0;;;-;;;69.655,77;;
;Fevereiro;;57.515.100,0;;;7.260,0;;;9.100,0;;;580.860,0;;;1.673.170,0;;;-;;;59.785,49;;
;Março;;61.106.300,0;;;9.150,0;;;5.940,0;;;612.880,0;;;1.916.450,0;;;-;;;63.650,72;;
;Abril;;54.454.150,0;;;5.670,0;;;8.680,0;;;468.490,0;;;1.734.060,0;;;-;;;56.671,05;;
;Maio;;54.265.030,0;;;6.490,0;;;6.690,0;;;566.980,0;;;1.875.100,0;;;-;;;56.720,29;;
;Junho;;52.014.020,0;;;7.080,0;;;6.430,0;;;393.960,0;;;1.656.030,0;;;1.360.140,0;;;55.437,66;;
;Julho;;51.894.570,0;;;6.280,0;;;3.730,0;;;448.110,0;;;1.639.060,0;;;2.310.380,0;;;56.302,13;;
;Agosto;;55.230.450,0;;;6.430,0;;;7.700,0;;;667.330,0;;;1.892.330,0;;;191.380,0;;;57.995,62;;
;Setembro;;54.471.310,0;;;8.430,0;;;5.410,0;;;737.100,0;;;1.841.800,0;;;-;;;57.064,05;;
;Outubro;;55.098.310,0;;;6.850,0;;;6.200,0;;;843.470,0;;;1.722.190,0;;;-;;;57.677,02;;
;Novembro;;57.070.900,0;;;5.600,0;;;6.600,0;;;870.290,0;;;1.757.220,0;;;-;;;59.710,61;;
;Dezembro;;64.949.750,0;;;4.680,0;;;6.780,0;;;674.070,0;;;2.248.490,0;;;-;;;67.883,77;;
;Total;;;685.121.650,0;;;81.140,0;;;82.680,0;;;7.561.620,0;;;21.845.190,0;;;3.861.900,0;;;718.554,18;
