LOTE II;;;;;;;;;;;;
;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ
Varrição manual de vias;R$ 1.996.904,35;R$ 2.002.302,83;R$ 2.152.020,39;R$ 2.046.942,18;R$ 1.950.497,62;R$ 1.962.600,70;R$ 1.989.707,87;R$ 1.997.376,05;R$ 2.106.486,18;R$ 2.373.428,99;R$ 2.204.944,18;R$ 2.324.473,72
Coleta Seletiva;R$ 254.180,64;R$ 259.368,00;R$ 196.471,26;R$ -;R$ -;R$ -;R$ -;R$ 131.629,26;R$ 196.471,26;R$ 299.166,90;R$ 384.446,66;R$ 408.517,56
Coleta convencional de RSU;R$ 1.725.774,96;R$ 1.587.927,00;R$ 1.681.420,54;R$ 1.587.728,69;R$ 1.572.025,73;R$ 1.618.074,93;R$ 1.657.274,24;R$ 1.603.981,14;R$ 1.620.368,13;R$ 1.804.553,61;R$ 1.730.327,30;R$ 1.925.110,48
Coleta Manual de Entulhos;R$ 212.916,92;R$ 217.262,16;R$ 217.262,16;R$ 217.262,16;R$ 217.262,16;R$ 217.262,16;R$ 217.262,16;R$ 206.109,37;R$ 217.262,16;R$ 232.993,86;R$ 232.993,86;R$ 232.993,86
Coleta mecanizada de entulhos;R$ 589.785,73;R$ 463.651,41;R$ 507.757,56;R$ 436.339,93;R$ 385.932,25;R$ 385.156,91;R$ 476.330,71;R$ 420.903,84;R$ 456.710,24;R$ 510.648,06;R$ 425.394,45;R$ 417.021,65
Limpeza de Equipamentos e bens Públicos;R$ 47.530,09;R$ 49.458,99;R$ 49.458,99;R$ 49.458,99;R$ 17.805,24;R$ 49.458,99;R$ 49.458,99;R$ 49.458,99;R$ 49.458,99;R$ 52.153,23;R$ 52.153,23;R$ 52.153,23
Catação em área verde;R$ 659.056,86;R$ 659.056,86;R$ 658.690,72;R$ 655.761,58;R$ 658.471,03;R$ 655.322,20;R$ 659.056,86;R$ 659.056,86;R$ 659.056,86;R$ 698.909,13;R$ 698.909,13;R$ 696.501,78
Lavagem de Vias e Logradouros Públicos;R$ 57.782,34;R$ 58.834,02;R$ 60.096,04;R$ 60.096,04;R$ 60.096,04;R$ 58.924,17;R$ 53.425,38;R$ 60.096,04;R$ 60.096,04;R$ 63.371,78;R$ 63.371,78;R$ 63.371,78
