CONTRATO Nº;EMPRESA;;DATA DE;;OBJETO;TÉRMINO DA VIGÊNCIA;VALOR (R$);EXECUTORES E SUPLENTES
;;;ASSINATURA/;;;;;
;;;INÍCIO DA VIGÊNCIA;;;;;
01/2024;FRAL CONSULTORIA LTDA;24/01/2024;;;ELABORAÇÃO DE PROJETO EXECUTIVO COMPLETO DE CONCEPÇÃO, IMPLANTAÇÃO, OPERAÇÃO E MANUTENÇÃO DA NOVA UNIDADE DE RECEBIMENTO DE ENTULHOS, CONFORME ESPECIFICAÇÕES CONTIDAS NO PROJETO BÁSICO, ANEXO NO EDITAL DA LICITAÇÃO;23/01/2026;R$ 1.739.978,61;FERNANDO EDSON OLIVEIRA PEREIRA, GUILLERMO MARTINUSSO RODRIGUES, ANA SOFIA CAVALCANTI JUCÁ, FABIANE THAIS ROMEIRO TEZONI DE ALMEIDA, GUSTAVO PEREIRA DE MENEZES, BRUNO DENÓFRIO PORTO, GABRIEL AUGUSTO FERREIRA RIBEIRO
07/2023;FUNAP;05/05/2023;;;FORNECIMENTO DE MÃO DE OBRA DE REEDUCANTO EM REGIME SEMIABERTO.;04/05/2025;R$ 36.926,10;FABIENE FREIRE AMORIM, SÉRGIO FERNANDES DE FARIA, LUIS FERNANDO MONTEIRO BARBOSA, MARCONE MENDONÇA DE ARAÚJO
32/2021;INSTITUTO LUCIMAR MALAQUIAS;24/12/2021;;;PRESTAÇÃO DE SERVIÇOS A SEREM EXECUTADOS DE FORMA CONTÍNUA, CORRESPONDENTES À CONTRATAÇÃO DE ASSOCIAÇÃO DE PORTADORES DE DEFICIÊNCIA FÍSICA, SEM FINS LUCRATIVOS E DE COMPROVADA IDONEIDADE, PARA A DISPONIBILIZAÇÃO DE PESSOAS PORTADORAS DE DEFICIÊNCIA;03/01/2026;R$ 2.713.569,80;FABIENE FREIRE AMORIM, SERGIO FERNANDES DE FARIA, MARCONE MENDONÇA DE ARAÚJO
