;SUMA BRASIL;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;1,16;;;2,92;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;4,08;
;RECICLA MAIS BRASIL;;;37,66;;;38,78;;;43,20;;;44,62;;;44,46;;;55,40;;;38,38;;;33,04;;;38,47;;;35,97;;;32,66;;;38,17;;;480,81;
;RECICLA MAIS BRASIL II;;;104,30;;;94,13;;;102,53;;;132,39;;;108,23;;;102,93;;;135,84;;;128,92;;;135,67;;;114,85;;;122,43;;;129,07;;;1.411,29;
;IRR SAAN;;;58,15;;;60,82;;;136,70;;;104,17;;;102,82;;;117,49;;;137,75;;;80,62;;;119,41;;;58,95;;;84,91;;;90,65;;;1.152,44;
;SUMA BRASIL;;;6,76;;;0,00;;;3,55;;;13,53;;;0,00;;;2,18;;;27,44;;;13,83;;;7,00;;;4,55;;;8,34;;;0,00;;;87,18;
;VALOR AMBIENTAL LTDA;;;51,39;;;60,82;;;133,15;;;90,64;;;102,82;;;115,31;;;110,31;;;66,79;;;112,41;;;54,40;;;76,57;;;90,65;;;1.065,26;
;IRR SCIA NOVO;;;513,11;;;549,91;;;701,99;;;640,76;;;665,98;;;541,44;;;614,47;;;649,75;;;631,09;;;697,40;;;635,56;;;655,79;;;7.497,25;
;SUSTENTARE SANEAMENTO;;;0,00;;;0,00;;;0,00;;;0,00;;;3,76;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;3,76;
;SUMA BRASIL;;;280,41;;;126,94;;;341,55;;;460,91;;;535,94;;;419,49;;;341,41;;;395,05;;;373,71;;;532,14;;;419,22;;;431,06;;;4.657,83;
;VALOR AMBIENTAL LTDA;;;194,72;;;380,26;;;311,61;;;142,59;;;86,27;;;82,34;;;228,02;;;214,82;;;217,66;;;120,22;;;168,81;;;171,08;;;2.318,40;
;CORTRAP;;;37,98;;;42,71;;;48,83;;;37,26;;;40,01;;;39,61;;;45,04;;;39,88;;;39,72;;;45,04;;;47,53;;;53,65;;;517,26;
;SIA - LINHA DO TREM;;;403,29;;;374,54;;;380,87;;;324,93;;;301,79;;;243,45;;;281,02;;;215,18;;;250,47;;;271,47;;;266,06;;;327,23;;;3.640,30;
;SUMA BRASIL;;;361,42;;;321,99;;;344,67;;;289,86;;;269,93;;;223,28;;;257,63;;;189,62;;;226,84;;;248,71;;;236,73;;;287,53;;;3.258,21;
;VALOR AMBIENTAL LTDA;;;24,15;;;33,69;;;16,84;;;15,61;;;10,92;;;3,50;;;5,83;;;6,12;;;1,43;;;0,00;;;3,33;;;6,35;;;127,77;
;RENASCER;;;17,72;;;18,86;;;19,36;;;19,46;;;20,94;;;16,67;;;17,56;;;19,44;;;22,20;;;22,76;;;26,00;;;33,35;;;254,32;
;USINA CEILÂNDIA SUL;;;227,46;;;99,61;;;231,57;;;262,44;;;282,37;;;251,44;;;251,26;;;259,01;;;166,31;;;307,88;;;328,72;;;617,49;;;3.285,56;
;VALOR AMBIENTAL LTDA;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;0,00;;;13,32;;;13,32;
;SUSTENTARE SANEAMENTO;;;227,46;;;99,61;;;231,57;;;262,44;;;282,37;;;251,44;;;251,26;;;259,01;;;166,31;;;307,88;;;328,72;;;604,17;;;3.272,24;
;IRR SCIA QUADRA 10;;;242,14;;;888,74;;;450,11;;;444,87;;;246,04;;;362,05;;;312,26;;;310,66;;;340,87;;;334,21;;;275,69;;;203,33;;;4.410,97;
;SUMA BRASIL;;;210,05;;;824,06;;;420,61;;;422,04;;;230,00;;;350,42;;;300,97;;;309,33;;;325,09;;;316,69;;;253,61;;;170,45;;;4.133,32;
;VALOR AMBIENTAL LTDA;;;32,09;;;64,68;;;29,50;;;22,83;;;16,04;;;11,63;;;11,29;;;1,33;;;15,78;;;17,52;;;22,08;;;32,88;;;277,65;
;TOTAL GERAL;;;4.223,68;;;4.677,58;;;5.045,17;;;4.829,91;;;4.851,16;;;4.844,42;;;5.418,99;;;5.090,08;;;5.391,06;;;5.330,87;;;5.283,53;;;6.330,04;;;61.316,50;
