;Outubro;;R$ 52,32;;R$ 3.377.674,56;;
;Novembro;;R$ 52,32;;R$ 3.425.613,81;;
;Dezembro;;R$ 52,32;;R$ 3.949.412,87;;
;TOTAL;;;;;R$ 35.700.685,36;
