;;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;;DEZ;;;Total;;;Média;
;Lote I;;;328,32;;;585,04;;;781,85;;;822,47;;;688,91;;;647,04;;;696,86;;;601,15;;;696,72;;;758,48;;;760,65;;;845,01;;;8.212,50;;;684,38;
;Lote II;;;1.126,65;;;1.409,91;;;1.381,41;;;1.304,50;;;1.226,11;;;1.180,05;;;1.218,58;;;1.183,42;;;1.235,80;;;1.316,27;;;1.270,47;;;1.502,27;;;15.355,44;;;1.279,62;
;Lote III;;;611,90;;;849,48;;;1.065,00;;;910,67;;;888,65;;;832,77;;;993,88;;;908,25;;;911,47;;;914,37;;;934,56;;;1.033,02;;;10.854,02;;;904,50;
;Total;;;2.066,87;;;2.844,43;;;3.228,26;;;3.037,64;;;2.803,67;;;2.659,86;;;2.909,32;;;2.692,82;;;2.843,99;;;2.989,12;;;2.965,68;;;3.380,30;;;34.421,96;;;2.868,50;
