12;20/2021;VALOR AMBIENTAL LTDA;25/08/2021;Prestação de serviços de operação,;;01/09/2022;GLOBAL: R$ 24.899.167,80;IRACEMA DA ROCHA DOURADO / JOSÉ NILTON ARRAIS DA SILVA / FRANCILIO RIBEIRO JUNIOR / CASSIO MACIEL LEMOS / JOSÉ ROMILDO DOS SANTOS
;;;;controle e manutenção da Usina de;;;;
;;;;Tratamento Mecânico Biológico com;;;;
;;;;produção de composto cru da Ceilândia e;;;;
;;;;da Usina de Tratamento Mecânico;;;;
;;;;"Biológico da Asa Sul; operação de";;;;
;;;;compostagem na Usina de Tratamento;;;;
;;;;"Mecânico Biológico da Ceilândia;";;;;
;;;;transporte de composto cru da Usina de;;;;
;;;;Tratamento Mecânico Biológico da Asa;;;;
;;;;Sul até a Usina de Tratamento Mecânico;;;;
;;;;"Biológico da Ceilândia; transporte de";;;;
;;;;rejeito das usinas Ceilândia e Asa Sul até;;;;
;;;;"o Aterro Sanitário de Brasília; e";;;;
;;;;transporte de chorume das usinas;;;;
;;;;Ceilândia até a Unidade de Recebimento;;;;
;;;;de Entulho – URE e/ou Aterro Sanitário;;;;
;;;;de Brasília – ASB;;;;
13;25/2021;CONÁGUA AMBIENTAL LTDA;05/11/2021;Prestação de serviços de laboratório;;05/11/2022;GLOBAL R$ 84.240,00;ANDRÉA RODRIGUES DE ALMEIDA / LEONARDO YAMADA ARANTES
;;;;acreditado pelo INMETRO para avaliar os;;;;
;;;;parâmetros e indicadores da eficácia do;;;;
;;;;tratamento do efluente na Usina de;;;;
;;;;Tratamento de Chorume - UTC,;;;;
;;;;localizada no Aterro Sanitário de Brasília;;;;
;;;;- ASB;;;;
