;;;Acordo Ortográfico da Língua Portuguesa - EGOV;EGOV;;1;;
;;;Assédio na Administração Pública - EGOV;;;1;;
;;;Aulão da EGOV: Como perder o medo de falar em público? Técnicas de Oratória - EGOV;;;1;;
;;;Administração orçamentária, financeira, patrimonial e contábil com foco no Sistema Integrado de Gestão Governamental (SIGGo) - Módulo III - EGOV;;;1;;
;;;Atualização em gramática da Língua Portuguesa - EGOV;;;2;;
;;;Capacitação na ferramenta do SIGRHWEB-GFIP_SEFIP 8.4 - EGOV;;;1;;
;;;Desenvolvimento de competências gerenciais - EGOV;;;1;;
;;;Elaboração de Projeto Básico e Termo de Referência - EGOV;;;1;;
;;;Ética, uma questão de escolha - EGOV;;;1;;
;;;Gestão de Processos - EGOV;;;1;;
;;;InovEgov - um dia sobre inovação - EGOV;;;1;;
;;;O modelo de governança na área de Gestão de Pessoas - EGOV;;;1;;
;;;Os quatro passos preciosos para saber como lidar com a sua raiva utilizando a CNV - EGOV;;;2;;
;;;Sistema Eletrônico de Informações (SEI) - Módulo: Usar - EGOV;;;3;;
;;;Sistema Unico de Gestão de Recursos Humanos (SIGRH) - Módulo: Acerto de contas - EGOV;;;1;;
;;;Virando a chave com a Comunicação Não Violenta (CNV) workshop: Desarme o estresse: aplicando a CNV ao lidar com pessoas dificeis e situacões desafiadoras - EGOV;;;1;;
;CONGRESSO;;XXV Congresso Brasileiro de Ouvidores/Ombusman - ABO;ABO;;1;;
;;;Congresso Nacional Manutenção Predial, Modelagens de Contratação e Uso de Facilities - O Planejamento e a Formação de Preços dos Serviços, Disposições da Nova Lei de Licitações e Contratos Aplicáveis à Contratação de Manutenção Predial - CAPACITY;CAPACITY;;6;;
;;SUBTOTAL DE SERVIDORES;;;;;86;
TOTAL DE SERVIDORES;;;;;;795;;
