CONTRATOS/CONVÊNIOS;;;;Até 2015;2016;2017;2018;2019;2020;2021;VIGENTES
;Manutenção Administrativa;;;1;;5;5;2;5;3;21
;Obras;;;;;;;1;;6;7
;Aquisição de Equipamentos;;;;1;;;;1;3;5
Terceirizados;;;;;1;;;1;;2;4
Serviço de Limpeza Urbana;;;;1;;;1;3;;4;9
;Coleta Seletiva;;;;4;;20;5;;1;30
Convênios;;;;;;;;;;5;7
;;;;;;1;;;;;
;;;;;;;;3;;2;
Termo de Cooperação;;;;;1;;;;;;
Total;;;;2;6;6;27;12;9;19;81
