;PUBLICAÇÕES NO INSTAGRAM DO SLU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tipo de Mídia/Mês;;;Janeiro;;;Fevereiro;;;Março;;;Abril;;;Maio;;;Junho;;;Julho;;;Agosto;;;Setembro;;;Outubro;;;Novembro;;;Dezembro;;;TOTAL;
;Publicações;;;15;;;22;;;15;;;14;;;21;;;29;;;20;;;26;;;20;;;24;;;27;;;23;;;256;
;Stories;;;88;;;98;;;57;;;98;;;100;;;211;;;140;;;196;;;165;;;164;;;114;;;140;;;1.571;
;Total de publicações;;;103;;;120;;;72;;;112;;;121;;;240;;;160;;;222;;;185;;188;;;141;;;163;;;;1.827;
;Alcance de contas;;;15.800;;;11.800;;;10.000;;;12.300;;;35.300;;;28.100;;;13.900;;;18.300;;;15.600;;;20.200;;;29.200;;;25.700;;;236.200;
;Visualizações;;;N/D;;;N/D;;;N/D;;;N/D;;;N/D;;;N/D;;;N/D;;;N/D;;;110.600;;;145.400;;;143.900;;;185.900;;;585.800;
;Seguidores;;;N/D;;;+397;;;+410;;;+443;;;+624;;;+423;;;+392;;;+340;;;+291;;;+433;;;+570;;;+768;;;5.091;
