;DESPESAS COM ALUGUEL E CONDOMÍNIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;DESPESA;;;JAN;;;FEV;;;MAR;;;ABR;;;MAI;;;JUN;;;JUL;;;AGO;;;SET;;;OUT;;;NOV;;DEZ;;;TOTAL;
Aluguel dos Galpões;;;R$ 31.106;;;R$ 31.106;;;R$ 31.106;;;;R$ 31.106;;;R$ 31.106;;;R$ 31.106;;;R$ 31.106;;;R$ 31.106;;;R$ 31.106;;;R$ 31.106;;;R$ 31.106;;-;;;R$ 342.166;
Aluguel da Sede Adm.;;;R$ 127.346;;;R$ 127.346;;;R$ 127.346;;;;R$ 127.346;;;R$ 127.346;;;R$ 127.346;;;R$ 127.346;;;R$ 127.346;;;R$ 127.346;;;R$ 127.346;;;R$ 127.346;;-;;;R$ 1.400.809;
Condomínio;;;R$ 38.598;;;R$ 38.598;;;R$ 38.598;;;;R$ 38.598;;;R$ 38.598;;;R$ 38.598;;;R$ 38.598;;;R$ 38.598;;;R$ 38.598;;;R$ 38.598;;;R$ 38.598;;-;;;R$ 424.575;
;TOTAL MENSAL;;;R$ 197.050;;;R$ 197.050;;;R$ 197.050;;;R$ 197.050;;;R$ 197.050;;;R$ 197.050;;;R$ 197.050;;;R$ 197.050;;;R$ 197.050;;;R$ 197.050;;;R$ 197.050;;-;;;R$ 2.167.550;
