MÊS;QUANTIDADE
Janeiro;11
Fevereiro;1
Março;14
Abril;9
Maio;6
Junho;1
Julho;1
Agosto;3
Setembro;14
Outubro;3
Novembro;6
Dezembro;13
TOTAL;82
