;REEQUILÍBRIOS E ADITIVOS CONTRATUAIS;
Lote 1, 2 e 3 Pagamento Feriado Corpus Christi (30/05/2024).;;
Recálculo dos Preços Unitários dos contratos nº 18/2019, 19/2019 e 24/2019, referentes ao Dia do Gari (16/05/2024) e o Feriado de Corpus Christi (30/05/2024). Nota Técnica nº 20.;;
Contratos Administrativos – Equilíbrio Financeiro.;;
Preços unitários da repactuação MDO – reajuste do salário mínimo a partir de 1º de maio de 2023, para pagamento considerando custos ajustados do Contrato Nº 24/2019. Nota Técnica N.º 13/2024 - SLU/DITEC/SUBTEC/CORECON/GEACO.;;
Ajustes na Planilha de Custos para o Serviço P10 – Frisagem e Pintura Mecanizada. Nota Técnica Nº 14/2024 – SLU/DITEC/SUBTEC/CORECON/GEACO.;;
Atualização da Nota Técnica N.º 61/2023 – SLU/DITEC/UGTEC/CORECON/GEACO.;;
Aditivo Conágua – NT do Aditivo – Rerratificação do Termo Aditivo Terceiro ao Contrato nº 25/2021 (134029157). Nota Técnica N.º 2/2024 - SLU/DITEC/SUBTEC/CORECON/GEACO.;;
Contrato de Prestação de Serviços n.º 41/2022. Resposta ao Ofício 15/2024 - NORESA e ao Despacho - SLU/PRESI/COMEX_49. Nota Técnica N.º 4/2024 - SLU/DITEC/SUBTEC/CORECON/GEACO.;;
Ressarcimento URE – Nota Técnica 6;;
Ressarcimento Quantitativo Aterro - 42/2022 - Consórcio (Aterro) - Nota Técnica 7;;
Análise da vantagem na manutenção do Contrato n° 18/2019 (Lote 1) - Nota Técnica 1;;
Análise da vantagem na manutenção do Contrato n° 19/2019 (Lote 2) - Nota Técnica 18;;
Análise da vantagem na manutenção do Contrato n° 24/2019 (Lote 3) - Nota Técnica 20;;
Reajuste Contrato n° 21/2017 (Aluguel de Galpão) – Nota Técnica 19;;
Atualização da Glosa do Contrato nº 18/2019 (Lote 1) em razão do Dia do Gari – Nota Técnica 17;;
Atualização da Glosa Cautelar do Contrato nº 19/2019 (Lote 2) – Nota Técnica 16;;
Atualização da Glosa Cautelar do Contrato nº 18/2019 (Lote 1) – Nota Técnica 15;;
Atualização de Custos de Aditivo Contratual – Contrato nº 18/2019 (Lote 1) – Nota Técnica 13;;
Atualização de Custos de Aditivo Contratual – Contrato nº 19/2019 (Lote 2) – Nota Técnica 9;;
Validação de Reajuste ao Contrato n° 16/2020 (Fral) – Nota Técnica 12;;
Validação de Reajuste ao Contrato n° 12/2023 (Aterro) – Nota Técnica 14;;
Aditivo Instalação Semienterrados - Contrato n° 19/2023 – Sotkon - Nota Técnica 24;;
Aditivo de Alteração de Parâmetros de Dimensionamento das Horas Produtivas dos Equipamentos - Contrato nº 08/2022 e Contrato nº 26/2022 - Nota Técnica 25;;
Validação de Reajuste ao Contrato n° 17/2023 – Nota Técnica 26;;
Repactuação de Insumos - Contrato n° 41/2022 (Noresa) - Nota Técnica 29;;
Repactuação de Insumos - Contrato n° 18/2019 (Lote 1) - Nota Técnica 30;;
Validação de Reajuste ao Contrato n° 19 /2020 - Despacho SLU/PRESI/DITEC/SUBTEC/CORECON;;
Ressarcimento Quantitativo Aterro - Contrato n° 42/2022 - Nota Técnica N.º 23/2024 e Nota Técnica 31/2024;;
