;;;;;;;;;Data de;;;Data de;;;;;;;;;Valor Global;
;Nº;;Empresa;;;Objeto;;;;;;;;;Informações;;;Contrato;;;;
;;;;;;;;;Assinatura;;;Término;;;;;;;;;(R$);
1;;;NOVACAP;;Repasse de recursos para a infraestrutura do Aterro Oeste;;;31/10/2012 12/07/2013 31/10/2014;;;31/10/2013 30/10/2014 30/12/2015;;;-;;;094.000.096/ 2013 1º Aditivo 2º Aditivo;;;4.347.726;;
2;;;NOVACAP;;Repasse de recursos para a infraestrutura do Aterro Oeste;;;12/12/2012 12/12/2013 08/05/2014 31/07/2014 06/11/2014;;;12/12/2013 10/05/2014 06/11/2014 - 31/12/2015;;;-;;;094.001.748/ 2012 1º Aditivo 2º Aditivo 3º Aditivo 4º Aditivo;;;16.776.248;;
3;;;BANCO DO BRASIL;;PASEP;;;31/08/2011;;;31/08/2016;;;-;;;;;;Não tem contrapartida;;
