CONTROLE DE TRANSPORTE DE RESÍDUOS (CTR);;;;
Mês;;;Emitidos;Destinados na URE
Janeiro;;;33.141;29.169
Fevereiro;;;32.836;29.310
Março;;;34.205;30.363
Abril;;;34.453;31.055
Maio;;;35.653;32.398
;Junho;;33.990;30.302
Julho;;;38.210;33.486
Agosto;;;37.646;33.151
Setembro;;;38.876;34.127
Outubro;;;39.741;35.649
Novembro;;;33.601;29.756
Dezembro;;;31.960;29.602
TOTAL;;;424.312;378.368
