Diretorias;Com cargo;Sem cargo;Total
DIRETORIA GERAL;20;18;38
DIRETORIA DE ADMINISTRACAO E FINANCAS;26;64;90
DIRETORIA DE LIMPEZA URBANA;33;605;638
DIRETORIA DE MODERNIZACAO E GESTAO TECNOLOGICA;9;0;9
DIRETORIA DE TECNICA;10;2;12
PROCURADORIA JURÍDICA;4;1;5
;102;690;792
