;;;;CNPJ 39.326.773/0001-06;;
00094-00000336/2025-09;CONTRATAÇÃO DA COOPERATIVA DE TRABALHO E DE MATERIAL RECICLADO E DE EDUCAÇÃO AMBIENTAL NOVA ESPERANÇA (COOPERNOES), DECORRENTE DO EDITAL DE CREDENCIMENTO Nº 01/2024-SLU/DF E SEUS ANEXOS;INEXIGIBILIDADE Nº 4/2025;R$ 916.770,82;COOPERATIVA DE TRABALHO E DE MATERIAL RECICLADO E DE EDUCAÇÃO AMBIENTAL NOVA ESPERANÇA (COOPERNOES) CNPJ 09.551.980/0001-95;01567525000176-1- 000004/2025;3/2025
00094-00000344/2025-47;CONTRATAÇÃO DA COOPERATIVA DE TRABALHO DE RECICLAGEM AMBIENTAL DA CIDADE ESTRUTURAL - COORACE, DECORRENTE DO EDITAL DE CREDENCIMENTO Nº 01/2024-SLU/DF E SEUS ANEXOS;INEXIGIBILIDADE Nº 5/2025;R$ 537.170,40;COOPERATIVA DE TRABALHO DE RECICLAGEM AMBIENTAL DA CIDADE ESTRUTURAL - COORACE CNPJ 10.726.502.0001-58;01567525000176-1- 000005/2025;6/2025
00094-00000348/2025-25;CONTRATAÇÃO DA COOPERATIVA DE TRABALHO DE RECICLAGEM AMBIENTAL - CONSTRUIR, DECORRENTE DO EDITAL DE CREDENCIMENTO Nº 01/2024-SLU/DF E SEUS ANEXOS;INEXIGIBILIDADE Nº 6/2025;R$ 964.152,00;COOPERATIVA DE TRABALHO DE RECICLAGEM AMBIENTAL - CONSTRUIR CNPJ 15.211.445/0001-98;01567525000176-1- 000006/2025;15/2025
00094-00000352/2025-93;CONTRATAÇÃO DA COOPERATIVA DE TRABALHO DE RECICLAGEM AMBIENTAL - PLASFERRO, DECORRENTE DO EDITAL DE CREDENCIMENTO Nº 01/2024-SLU/DF E SEUS ANEXOS;INEXIGIBILIDADE Nº 7/2025;R$ 1.266.069,31;COOPERATIVA DE TRABALHO DE RECICLAGEM AMBIENTAL - PLASFERRO CNPJ 10.746.644/0001-87;01567525000176-1- 000007/2025;24/2025
00094-00000353/2025-38;CONTRATAÇÃO DA COOPERATIVA DE TRABALHO DE CATADORES DE MATERIAIS RECICLÁVEIS E REUTILIZAVEIS AMBIENTAL - COOPERE, DECORRENTE DO EDITAL DE CREDENCIMENTO Nº 01/2024-SLU/DF E SEUS ANEXOS;INEXIGIBILIDADE Nº 8/2025;R$ 629.315,78;COOPERATIVA DE TRABALHO DE CATADORES DE MATERIAIS RECICLÁVEIS E REUTILIZAVEIS AMBIENTAL - COOPERE CNPJ 10.756.259/0001-10;01567525000176-1- 000008/2025;11/2025
00094-00000355/2025-27;CONTRATAÇÃO DA CORTRAP COOPERATIVA DE TRABALHO DE RECICLAGEM E PRODUÇÃO, DECORRENTE DO EDITAL DE CREDENCIMENTO Nº 01/2024-SLU/DF E SEUS ANEXOS;INEXIGIBILIDADE Nº 9/2025;R$ 1.239.624,00;CORTRAP COOPERATIVA DE TRABALHO DE RECICLAGEM E PRODUÇÃO CNPJ 04.091.544/0001-67;01567525000176-1- 000009/2025;22/2025
00094-00000356/2025-71;CONTRATAÇÃO DA ASSOCIAÇÃO DOS CATADORES AMBIENTALISTAS DA ESTRUTURAL (AMBIENTE), DECORRENTE DO EDITAL DE CREDENCIMENTO Nº 01/2024-SLU/DF E SEUS ANEXOS;INEXIGIBILIDADE Nº 10/2025;R$ 757.548,00;ASSOCIAÇÃO DOS CATADORES AMBIENTALISTAS DA ESTRUTURAL (AMBIENTE) CNPJ 04.096.838/0001-8;01567525000176-1- 000010/2025;9/2025
00094-00000365/2025-62;CONTRATAÇÃO DA ASSOCIAÇÃO DOS CATADORES DE PAPEL PAPELÃO E MATERIAIS RECICLÁVEIS DO GUARÁ (CATAGUAR), DECORRENTE DO EDITAL DE CREDENCIMENTO Nº 01/2024-SLU/DF E SEUS ANEXOS;INEXIGIBILIDADE Nº 11/2025;R$ 1.382.594,80;ASSOCIAÇÃO DOS CATADORES DE PAPEL PAPELÃO E MATERIAIS RECICLÁVEIS DO GUARÁ (CATAGUAR) CNPJ 07.030.564/001-16;01567525000176-1- 000011/2025;21/2025
00094-00000354/2025-82;CONTRATAÇÃO DA R3 COOPERATIVA DE CATADORES DE SANTA MARIA, DECORRENTE DO EDITAL DE CREDENCIMENTO Nº 01/2024-SLU/DF E SEUS ANEXOS;INEXIGIBILIDADE Nº 12/2025;R$ 1.231.910,78;R3 COOPERATIVA DE CATADORES DE SANTA MARIA CNPJ 22.889.465/0001-88;01567525000176-1- 000012/2025;13/2025
00094-00000341/2025-11;CONTRATAÇÃO DA COOPERATIVA DE TRABALHO DE CATADORES DA CIDADE ESTRUTURAL – COOPERCAP, DECORRENTE DO EDITAL DE CREDENCIMENTO Nº 01/2024-SLU/DF E SEUS ANEXOS;INEXIGIBILIDADE Nº 13/2025;R$ 1.260.559,87;COOPERATIVA DE TRABALHO DE CATADORES DA CIDADE ESTRUTURAL – COOPERCAP CNPJ 26.508.859/0001-08;01567525000176-1- 000020/2025;7/2025
00094-00000345/2025-91;CONTRATAÇÃO DA ASSOCIAÇÃO DOS CATADORES DE MATERIAIS RECICLÁVEIS DO DISTRITO FEDERAL - RECICLA BRASÍLIA, DECORRENTE DO EDITAL DE CREDENCIMENTO Nº 01/2024-SLU/DF E SEUS ANEXOS;INEXIGIBILIDADE Nº 14/2025;R$ 826.416,00;ASSOCIAÇÃO DOS CATADORES DE MATERIAIS RECICLÁVEIS DO DISTRITO FEDERAL - RECICLA BRASÍLIA CNPJ 09.481.371/0001-07;01567525000176-1- 000019/2025;14/2025
00094-00000346/2025-36;CONTRATAÇÃO DA COOPERATIVA DE TRABALHO DE CATADORES FLOR DO CERRADO, DECORRENTE DO EDITAL DE CREDENCIMENTO Nº 01/2024-SLU/DF E SEUS ANEXOS;INEXIGIBILIDADE Nº 15/2025;R$ 344.340,00;COOPERATIVA DE TRABALHO DE CATADORES FLOR DO CERRADO;01567525000176-1- 000018/2025;12/2025
