;QUADRO RESUMO DA GESTÃO DAS IRRS EM FUNCIONAMENTO;;;;;;;;;;
;Nº;;;IRR;;;Endereço;;;Associação/ Cooperativa;
01;;;;CTR 1;;SCIA, Pátio Ferroviário, CTR 1;;;Ambiente;;
;;;;;;;;;Coopernoes;;
02;;;;;;;;;;Cooperfé;
;;;;SCIA NOVO;;;SCIA, Quadra 09, Conj. 01, Lote 02;;;Cortrap;
03;;;CTR 2;;;SCIA, Pátio Ferroviário, CTR 2;;;Construir;;
;;;;;;;;;Recicla Brasília;;
;;;;;;;;;Coorace;;
04;;;;;;;;;;Coopere;
;;;;P Sul;;;QNP 28 Área Especial – P Sul s/nº Área da Usina do SLU, CEP - 72235-816;;;Plasferro;
05;;;;;;SAAN QUADRA 2, LOTE 650;;;Cootraempocap - ASAS;;
;;;;SAAN;;;;;Cooperlimpo 2;;
06;;;;;;;;;Ambiente;;
;;;;SCIA ALUGADO;;;SCIA Quadra 10, Conjunto 01 Lotes 2 e 3 - Brasília - DF;;;;
;07;;;Brazlândia;;AE – n° 02 Lotes I a L – Setor Norte – Área de transbordo do SLU;;;Acobraz;;
;08;;;Paranoá ²;;;Qd. 5 Coj. D Lote 1 e 2 – Paranoá/DF;;;Recicla Mais Brasil;
09;;;SIA ¹;;;SIA Trecho 17, RUA 8, LOTE 105;;;Coopativa;;
;;;;;;;;;Renascer;;
10;;;;Usina de Tratamento Microbiológico - Asa Sul;;;L4 Sul, AE - UTL - USINA Asa Sul - Brasília/DF;;;Renove;
;;;;;;;;;;Cooperlimpo;
11;;;Usina de Tratamento Microbiológico - P Sul;;;QNP 28 AE - UTMB - USINA Ceilândia/DF;;;Apcorc;;
;;;;;;;;;Cataguar;;
