26/04/2017;Ferimento na perna durante compactação de entulho por pedaço de tronco que atravessou o vidro da máquina.;27
04/05/2017;Assaltado e baleado no descarregamento de materiais no aterro.;
09/05/2017;Carreta atingiu tornozelo da perna direita da catadora (não faz parte de cooperativas) ao realizar manobra no pátio.;
01/06/2017;Caixa brooks bateu na cabeça da catadora ao ser descarregada.;
12/07/2017;Foi atingida pelo pneu do caminhão coletor da empresa Valor Ambiental - lesão leve.;
18/07/2017;Motorista estava ao celular enquanto dirigia.;
22/07/2017;Ferimento no pé ao pisar em espeto de madeira - lesão leve.;
28/07/2017;Atingido no pé direito pela carreta da Valor Ambiental. Lesão leve.;
31/07/2017;Ferimento no pé ao pisar em vergalhão, em aréa de derrubada de barracos. Encaminhado ao hospital.;
10/08/2017;Atingida no pé com vidro, atendida pelos bombeiros - lesão leve.;
10/08/2017;Ferimento no pé com vergalhão - lesão leve.;
15/08/2017;Teve o dedo decepado - lesão leve.;
04/09/2017;Teve o braço direito quebrado, após ser atingido pela mascara de solda.;
08/09/2017;Foi atingido por projétil de arma de fogo na área do ACJ.;
13/09/2017;Gestante de seis meses, vítima atingida por socos na barriga.;
14/09/2017;Vitíma atiginda por caminhão da VA.;
25/09/2017;Catador da lixeira seca caiu da caçamba de entulho, quebrou o dedo da mão direita.;
26/09/2017;Catador caiu do caminhão container na área da lixeira seca, quebrou dedo mindinho da mão direita.;
17/10/2017;Encontrava-se em cima do contêiner, caiu e quebrou a perna.;
16/11/2017;Operador da pá mecânica bateu na cabeça de catador.;
04/12/2017;Corte no pé de catador (não especificado material cortante).;
12/12/2017;Corte no braço de catador, provocado por pedaço de cerâmica.;
20/12/2017;Queda de catador ao subir no caminhão de empresa particular, teve seu tornozelo direito atingido pela roda da carreta.;
2018;;
08/01/2018;Informa que a caçamba pertencente à prestadora de serviços Valor Ambiental virou. Não houve vítimas nem feridos.;2
09/01/2018;Segundo relato do colaborador da empresa Valor Ambiental, ao fazer inspeção no carro de apoio observou uma pedra presa entre as duas rodas do veículo. Ao tentar retirá-la, utilizando uma marreta, o pneu estourou e atingiu seu rosto.;
