Ressarcimentos, indenizações e restituições;1.724.000,00;-527.871,00;0,00;0,00;0,00;1.196.129,00;1.196.128,05;0,95;1.190.504,17
Outros ressarcimentos, indenizações e restituições;217.400,00;147.500,00;17.900,09;10.503,54;0,00;336.496,37;336.496,16;0,21;336.496,16
TOTAL;585.489.991,00;- 4.198.610,00;5.925.772,72;507.379,42;0;574.858.228,86;574.087.458,90;770.769,96;531.602.486,32
